    nm         	nm
1.431650e+001	-1.295967e+000
1.427090e+001	-1.318258e+000
1.422531e+001	-1.350683e+000
1.417972e+001	-1.394253e+000
1.413412e+001	-1.427691e+000
1.408853e+001	-1.446943e+000
1.404293e+001	-1.470248e+000
1.399734e+001	-1.512805e+000
1.395175e+001	-1.558402e+000
1.390615e+001	-1.593867e+000
1.386056e+001	-1.630344e+000
1.381497e+001	-1.678981e+000
1.376937e+001	-1.735724e+000
1.372378e+001	-1.793480e+000
1.367818e+001	-1.847183e+000
1.363259e+001	-1.905952e+000
1.358700e+001	-1.966748e+000
1.354140e+001	-2.021465e+000
1.349581e+001	-2.076181e+000
1.345022e+001	-2.133937e+000
1.340462e+001	-2.187640e+000
1.335903e+001	-2.230197e+000
1.331343e+001	-2.264648e+000
1.326784e+001	-2.306192e+000
1.322225e+001	-2.351789e+000
1.317665e+001	-2.380161e+000
1.313106e+001	-2.400426e+000
1.308547e+001	-2.425758e+000
1.303987e+001	-2.465275e+000
1.299428e+001	-2.503779e+000
1.294868e+001	-2.525058e+000
1.290309e+001	-2.550389e+000
1.285750e+001	-2.591933e+000
1.281190e+001	-2.639557e+000
1.276631e+001	-2.682114e+000
1.272072e+001	-2.724671e+000
1.267512e+001	-2.779387e+000
1.262953e+001	-2.837143e+000
1.258393e+001	-2.891860e+000
1.253834e+001	-2.946576e+000
1.249275e+001	-3.002306e+000
1.244715e+001	-3.060062e+000
1.240156e+001	-3.113765e+000
1.235597e+001	-3.160375e+000
1.231037e+001	-3.210025e+000
1.226478e+001	-3.259675e+000
1.221918e+001	-3.300206e+000
1.217359e+001	-3.327564e+000
1.212800e+001	-3.356948e+000
1.208240e+001	-3.397479e+000
1.203681e+001	-3.427877e+000
1.199122e+001	-3.448142e+000
1.194562e+001	-3.471448e+000
1.190003e+001	-3.502859e+000
1.185443e+001	-3.537310e+000
1.180884e+001	-3.566694e+000
1.176325e+001	-3.599119e+000
1.171765e+001	-3.639650e+000
1.167206e+001	-3.682207e+000
1.162647e+001	-3.727804e+000
1.158087e+001	-3.776440e+000
1.153528e+001	-3.827104e+000
1.148968e+001	-3.877767e+000
1.144409e+001	-3.926404e+000
1.139850e+001	-3.978081e+000
1.135290e+001	-4.033810e+000
1.130731e+001	-4.086500e+000
1.126172e+001	-4.128044e+000
1.121612e+001	-4.162495e+000
1.117053e+001	-4.202012e+000
1.112493e+001	-4.245583e+000
1.107934e+001	-4.276994e+000
1.103375e+001	-4.296246e+000
1.098815e+001	-4.318538e+000
1.094256e+001	-4.348935e+000
1.089697e+001	-4.373254e+000
1.085137e+001	-4.388453e+000
1.080578e+001	-4.407705e+000
1.076018e+001	-4.431010e+000
1.071459e+001	-4.458368e+000
1.066900e+001	-4.488766e+000
1.062340e+001	-4.516124e+000
1.057781e+001	-4.545509e+000
1.053222e+001	-4.578947e+000
1.048662e+001	-4.611371e+000
1.044103e+001	-4.641769e+000
1.039543e+001	-4.671154e+000
1.034984e+001	-4.697499e+000
1.030425e+001	-4.717764e+000
1.025865e+001	-4.728910e+000
1.021306e+001	-4.734990e+000
1.016747e+001	-4.736003e+000
1.012187e+001	-4.721817e+000
1.007628e+001	-4.707632e+000
1.003068e+001	-4.690406e+000
9.985090e+000	-4.668114e+000
9.939496e+000	-4.642783e+000
9.893903e+000	-4.614411e+000
9.848309e+000	-4.585026e+000
9.802715e+000	-4.558681e+000
9.757121e+000	-4.534363e+000
9.711528e+000	-4.504978e+000
9.665934e+000	-4.482687e+000
9.620340e+000	-4.464448e+000
9.574746e+000	-4.447222e+000
9.529153e+000	-4.423917e+000
9.483559e+000	-4.399599e+000
9.437965e+000	-4.379333e+000
9.392371e+000	-4.359068e+000
9.346778e+000	-4.336776e+000
9.301184e+000	-4.317524e+000
9.255590e+000	-4.299285e+000
9.209996e+000	-4.279020e+000
9.164403e+000	-4.261794e+000
9.118809e+000	-4.245583e+000
9.073215e+000	-4.231397e+000
9.027621e+000	-4.220251e+000
8.982028e+000	-4.210118e+000
8.936434e+000	-4.203025e+000
8.890840e+000	-4.198972e+000
8.845246e+000	-4.194919e+000
8.799653e+000	-4.190866e+000
8.754059e+000	-4.187826e+000
8.708465e+000	-4.185800e+000
8.662871e+000	-4.184786e+000
8.617278e+000	-4.182760e+000
8.571684e+000	-4.179720e+000
8.526090e+000	-4.178707e+000
8.480496e+000	-4.174654e+000
8.434903e+000	-4.170601e+000
8.389309e+000	-4.167561e+000
8.343715e+000	-4.164521e+000
8.298121e+000	-4.160468e+000
8.252528e+000	-4.155402e+000
8.206934e+000	-4.148309e+000
8.161340e+000	-4.142229e+000
8.115746e+000	-4.138176e+000
8.070153e+000	-4.133110e+000
8.024559e+000	-4.129057e+000
7.978965e+000	-4.123990e+000
7.933371e+000	-4.121964e+000
7.887778e+000	-4.119938e+000
7.842184e+000	-4.116898e+000
7.796590e+000	-4.111831e+000
7.750996e+000	-4.108792e+000
7.705403e+000	-4.104739e+000
7.659809e+000	-4.101699e+000
7.614215e+000	-4.099672e+000
7.568621e+000	-4.095619e+000
7.523028e+000	-4.091566e+000
7.477434e+000	-4.086500e+000
7.431840e+000	-4.083460e+000
7.386245e+000	-4.078394e+000
7.340651e+000	-4.073327e+000
7.295057e+000	-4.068261e+000
7.249463e+000	-4.065221e+000
7.203869e+000	-4.062181e+000
7.158274e+000	-4.059141e+000
7.112680e+000	-4.056102e+000
7.067086e+000	-4.052048e+000
7.021492e+000	-4.049009e+000
6.975898e+000	-4.045969e+000
6.930303e+000	-4.042929e+000
6.884709e+000	-4.038876e+000
6.839115e+000	-4.037863e+000
6.793521e+000	-4.034823e+000
6.747927e+000	-4.030770e+000
6.702332e+000	-4.026717e+000
6.656738e+000	-4.023677e+000
6.611144e+000	-4.022664e+000
6.565550e+000	-4.020637e+000
6.519956e+000	-4.018611e+000
6.474361e+000	-4.016584e+000
6.428767e+000	-4.014558e+000
6.383173e+000	-4.012531e+000
6.337579e+000	-4.011518e+000
6.291985e+000	-4.009491e+000
