    nm         	nm
0.000000e+000	-3.805825e+000
4.559404e-002	-3.793666e+000
9.118807e-002	-3.793666e+000
1.367821e-001	-3.805825e+000
1.823761e-001	-3.805825e+000
2.279702e-001	-3.805825e+000
2.735642e-001	-3.816971e+000
3.191582e-001	-3.818998e+000
3.647523e-001	-3.822037e+000
4.103463e-001	-3.825077e+000
4.559403e-001	-3.826091e+000
5.015344e-001	-3.828117e+000
5.471284e-001	-3.829130e+000
5.927224e-001	-3.830144e+000
6.383165e-001	-3.830144e+000
6.839105e-001	-3.830144e+000
7.295045e-001	-3.829130e+000
7.750985e-001	-3.830144e+000
8.206926e-001	-3.829130e+000
8.662866e-001	-3.830144e+000
9.118806e-001	-3.832170e+000
9.574747e-001	-3.833184e+000
1.003069e+000	-3.834197e+000
1.048663e+000	-3.834197e+000
1.094257e+000	-3.836223e+000
1.139851e+000	-3.837237e+000
1.185445e+000	-3.838250e+000
1.231039e+000	-3.839263e+000
1.276633e+000	-3.840277e+000
1.322227e+000	-3.840277e+000
1.367821e+000	-3.841290e+000
1.413415e+000	-3.842303e+000
1.459010e+000	-3.841290e+000
1.504604e+000	-3.842303e+000
1.550198e+000	-3.843316e+000
1.595792e+000	-3.845343e+000
1.641386e+000	-3.847369e+000
1.686980e+000	-3.849396e+000
1.732574e+000	-3.851422e+000
1.778168e+000	-3.852436e+000
1.823762e+000	-3.853449e+000
1.869356e+000	-3.854462e+000
1.914950e+000	-3.854462e+000
1.960544e+000	-3.853449e+000
2.006138e+000	-3.853449e+000
2.051732e+000	-3.851422e+000
2.097326e+000	-3.851422e+000
2.142920e+000	-3.850409e+000
2.188514e+000	-3.847369e+000
2.234108e+000	-3.844329e+000
2.279702e+000	-3.842303e+000
2.325296e+000	-3.840277e+000
2.370890e+000	-3.839263e+000
2.416484e+000	-3.838250e+000
2.462078e+000	-3.838250e+000
2.507672e+000	-3.838250e+000
2.553266e+000	-3.838250e+000
2.598860e+000	-3.839263e+000
2.644454e+000	-3.839263e+000
2.690048e+000	-3.839263e+000
2.735642e+000	-3.840277e+000
2.781236e+000	-3.841290e+000
2.826830e+000	-3.841290e+000
2.872424e+000	-3.842303e+000
2.918018e+000	-3.842303e+000
2.963612e+000	-3.843316e+000
3.009206e+000	-3.843316e+000
3.054800e+000	-3.844329e+000
3.100393e+000	-3.845343e+000
3.145987e+000	-3.846356e+000
3.191581e+000	-3.848383e+000
3.237175e+000	-3.850409e+000
3.282769e+000	-3.852436e+000
3.328363e+000	-3.854462e+000
3.373957e+000	-3.856488e+000
3.419551e+000	-3.857502e+000
3.465145e+000	-3.859528e+000
3.510739e+000	-3.860542e+000
3.556333e+000	-3.862568e+000
3.601927e+000	-3.863581e+000
3.647521e+000	-3.864595e+000
3.693115e+000	-3.865608e+000
3.738709e+000	-3.865608e+000
3.784304e+000	-3.865608e+000
3.829898e+000	-3.865608e+000
3.875492e+000	-3.866621e+000
3.921086e+000	-3.868648e+000
3.966680e+000	-3.870674e+000
4.012275e+000	-3.871687e+000
4.057869e+000	-3.872701e+000
4.103463e+000	-3.873714e+000
4.149057e+000	-3.875741e+000
4.194651e+000	-3.876754e+000
4.240245e+000	-3.878780e+000
4.285840e+000	-3.881820e+000
4.331434e+000	-3.883847e+000
4.377028e+000	-3.885873e+000
4.422622e+000	-3.887900e+000
4.468216e+000	-3.888913e+000
4.513811e+000	-3.890940e+000
4.559405e+000	-3.892966e+000
4.604999e+000	-3.894993e+000
4.650593e+000	-3.897019e+000
4.696187e+000	-3.898033e+000
4.741782e+000	-3.900059e+000
4.787376e+000	-3.901072e+000
4.832970e+000	-3.902085e+000
4.878564e+000	-3.903099e+000
4.924158e+000	-3.904112e+000
4.969753e+000	-3.905125e+000
5.015347e+000	-3.906139e+000
5.060941e+000	-3.908165e+000
5.106535e+000	-3.909178e+000
5.152129e+000	-3.910192e+000
5.197724e+000	-3.912218e+000
5.243318e+000	-3.913232e+000
5.288912e+000	-3.914244e+000
5.334506e+000	-3.915258e+000
5.380100e+000	-3.915258e+000
5.425695e+000	-3.918298e+000
5.471289e+000	-3.921337e+000
5.516883e+000	-3.922351e+000
5.562477e+000	-3.923364e+000
5.608071e+000	-3.923364e+000
5.653666e+000	-3.924377e+000
5.699260e+000	-3.925391e+000
5.744854e+000	-3.925391e+000
5.790448e+000	-3.927417e+000
5.836042e+000	-3.929443e+000
5.881637e+000	-3.930457e+000
5.927231e+000	-3.932483e+000
5.972825e+000	-3.932483e+000
6.018419e+000	-3.933497e+000
6.064013e+000	-3.935523e+000
6.109607e+000	-3.937550e+000
6.155202e+000	-3.939576e+000
6.200796e+000	-3.941603e+000
6.246390e+000	-3.943629e+000
6.291984e+000	-3.945656e+000
6.337578e+000	-3.947682e+000
6.383173e+000	-3.950722e+000
6.428767e+000	-3.954775e+000
6.474361e+000	-3.958828e+000
6.519955e+000	-3.962881e+000
6.565549e+000	-3.966934e+000
6.611144e+000	-3.969974e+000
6.656738e+000	-3.973014e+000
6.702332e+000	-3.977067e+000
6.747926e+000	-3.981120e+000
6.793520e+000	-3.986186e+000
6.839115e+000	-3.990239e+000
6.884709e+000	-3.993279e+000
6.930303e+000	-3.995306e+000
6.975897e+000	-3.996319e+000
7.021491e+000	-3.996319e+000
7.067086e+000	-3.997332e+000
7.112680e+000	-3.996319e+000
7.158274e+000	-3.998346e+000
7.203868e+000	-3.999359e+000
7.249462e+000	-3.998346e+000
7.295057e+000	-3.998346e+000
7.340651e+000	-3.997332e+000
7.386245e+000	-3.996319e+000
7.431839e+000	-3.997332e+000
7.477433e+000	-3.998346e+000
7.523027e+000	-4.001385e+000
7.568620e+000	-4.004425e+000
7.614214e+000	-4.007465e+000
7.659808e+000	-4.012531e+000
7.705402e+000	-4.015571e+000
7.750995e+000	-4.019624e+000
7.796589e+000	-4.023677e+000
7.842183e+000	-4.027730e+000
7.887777e+000	-4.032796e+000
7.933370e+000	-4.037863e+000
7.978964e+000	-4.041916e+000
8.024558e+000	-4.044956e+000
8.070152e+000	-4.047996e+000
8.115745e+000	-4.051036e+000
8.161339e+000	-4.053062e+000
8.206933e+000	-4.054075e+000
8.252527e+000	-4.056102e+000
8.298120e+000	-4.058128e+000
8.343714e+000	-4.061168e+000
8.389308e+000	-4.063195e+000
8.434902e+000	-4.064208e+000
8.480495e+000	-4.067248e+000
8.526089e+000	-4.069274e+000
8.571683e+000	-4.072314e+000
8.617277e+000	-4.075354e+000
8.662870e+000	-4.078394e+000
8.708464e+000	-4.080420e+000
8.754058e+000	-4.083460e+000
8.799652e+000	-4.085487e+000
8.845245e+000	-4.087513e+000
8.890839e+000	-4.089540e+000
8.936433e+000	-4.092580e+000
8.982027e+000	-4.094606e+000
9.027620e+000	-4.096632e+000
9.073214e+000	-4.098659e+000
9.118808e+000	-4.101699e+000
9.164402e+000	-4.103725e+000
9.209995e+000	-4.106765e+000
9.255589e+000	-4.110818e+000
9.301183e+000	-4.113858e+000
9.346777e+000	-4.115885e+000
9.392370e+000	-4.118924e+000
9.437964e+000	-4.122978e+000
9.483558e+000	-4.126017e+000
9.529152e+000	-4.130070e+000
9.574745e+000	-4.131083e+000
9.620339e+000	-4.135137e+000
9.665933e+000	-4.137163e+000
9.711527e+000	-4.136150e+000
9.757120e+000	-4.135137e+000
9.802714e+000	-4.134123e+000
9.848308e+000	-4.135137e+000
9.893902e+000	-4.137163e+000
9.939495e+000	-4.133110e+000
9.985089e+000	-4.132097e+000
1.003068e+001	-4.133110e+000
1.007628e+001	-4.131083e+000
1.012187e+001	-4.130070e+000
1.016746e+001	-4.127030e+000
1.021306e+001	-4.129057e+000
1.025865e+001	-4.134123e+000
1.030425e+001	-4.134123e+000
1.034984e+001	-4.132097e+000
1.039543e+001	-4.129057e+000
1.044103e+001	-4.128044e+000
1.048662e+001	-4.126017e+000
1.053221e+001	-4.115885e+000
1.057781e+001	-4.106765e+000
1.062340e+001	-4.096632e+000
1.066900e+001	-4.081433e+000
1.071459e+001	-4.060155e+000
1.076018e+001	-4.038876e+000
1.080578e+001	-4.020638e+000
1.085137e+001	-3.998346e+000
1.089696e+001	-3.972001e+000
1.094256e+001	-3.947682e+000
1.098815e+001	-3.929443e+000
1.103375e+001	-3.916271e+000
1.107934e+001	-3.897019e+000
1.112493e+001	-3.873714e+000
1.117053e+001	-3.864594e+000
1.121612e+001	-3.865608e+000
1.126171e+001	-3.862568e+000
1.130731e+001	-3.847369e+000
1.135290e+001	-3.833184e+000
1.139850e+001	-3.834197e+000
1.144409e+001	-3.835210e+000
1.148968e+001	-3.823051e+000
1.153528e+001	-3.802785e+000
1.158087e+001	-3.782520e+000
1.162646e+001	-3.766308e+000
1.167206e+001	-3.743003e+000
1.171765e+001	-3.703485e+000
1.176325e+001	-3.661941e+000
1.180884e+001	-3.621411e+000
1.185443e+001	-3.576827e+000
1.190003e+001	-3.531230e+000
1.194562e+001	-3.483607e+000
1.199121e+001	-3.436996e+000
1.203681e+001	-3.384307e+000
1.208240e+001	-3.334657e+000
1.212800e+001	-3.300206e+000
1.217359e+001	-3.268795e+000
1.221918e+001	-3.233330e+000
1.226478e+001	-3.197866e+000
1.231037e+001	-3.172534e+000
1.235596e+001	-3.159362e+000
1.240156e+001	-3.146189e+000
1.244715e+001	-3.123898e+000
1.249275e+001	-3.098566e+000
1.253834e+001	-3.081340e+000
1.258393e+001	-3.073234e+000
1.262953e+001	-3.049929e+000
1.267512e+001	-3.012438e+000
1.272071e+001	-2.976974e+000
1.276631e+001	-2.943536e+000
1.281190e+001	-2.906045e+000
1.285750e+001	-2.854369e+000
1.290309e+001	-2.801679e+000
1.294868e+001	-2.753042e+000
1.299428e+001	-2.697313e+000
1.303987e+001	-2.639557e+000
1.308546e+001	-2.588893e+000
1.313106e+001	-2.541270e+000
1.317665e+001	-2.489593e+000
1.322225e+001	-2.436904e+000
1.326784e+001	-2.395360e+000
1.331343e+001	-2.366988e+000
1.335903e+001	-2.335577e+000
1.340462e+001	-2.299099e+000
1.345021e+001	-2.266675e+000
1.349581e+001	-2.242357e+000
1.354140e+001	-2.226144e+000
1.358700e+001	-2.199799e+000
1.363259e+001	-2.164335e+000
1.367818e+001	-2.133937e+000
1.372378e+001	-2.109619e+000
1.376937e+001	-2.074154e+000
1.381496e+001	-2.027544e+000
1.386056e+001	-1.981947e+000
1.390615e+001	-1.936350e+000
1.395175e+001	-1.879608e+000
1.399734e+001	-1.821851e+000
1.404293e+001	-1.769161e+000
1.408853e+001	-1.714445e+000
1.413412e+001	-1.651623e+000
1.417971e+001	-1.585761e+000
1.422531e+001	-1.534084e+000
1.427090e+001	-1.489500e+000
1.431650e+001	-1.443903e+000
1.436209e+001	-1.389187e+000
1.440768e+001	-1.340550e+000
1.445328e+001	-1.313192e+000
1.449887e+001	-1.293940e+000
1.454446e+001	-1.258476e+000
1.459006e+001	-1.219972e+000
1.463565e+001	-1.193627e+000
1.468125e+001	-1.177414e+000
