    µm         	nm
2.837573e+000	-2.551360e+001
2.857143e+000	-2.036800e+001
2.876712e+000	-1.206000e+001
2.896282e+000	-6.753600e+000
2.915851e+000	-5.628000e+000
2.935421e+000	-5.360000e-001
2.954990e+000	6.271200e+000
2.974560e+000	1.254240e+001
2.994129e+000	1.372160e+001
3.013699e+000	1.382880e+001
3.033268e+000	1.640160e+001
3.052837e+000	1.972480e+001
3.072407e+000	2.401280e+001
3.091976e+000	2.513840e+001
3.111546e+000	2.690720e+001
3.131115e+000	2.899760e+001
3.150685e+000	3.017680e+001
3.170254e+000	3.023040e+001
3.189824e+000	2.969440e+001
3.209393e+000	3.146320e+001
3.228963e+000	3.264240e+001
3.248532e+000	3.216000e+001
3.268102e+000	3.248160e+001
3.287671e+000	3.221360e+001
3.307241e+000	3.274960e+001
3.326810e+000	3.307120e+001
3.346380e+000	3.339280e+001
3.365949e+000	3.344640e+001
3.385519e+000	3.414320e+001
3.405088e+000	3.457200e+001
3.424658e+000	3.430400e+001
3.444227e+000	3.430400e+001
3.463796e+000	3.425040e+001
3.483366e+000	3.435760e+001
3.502935e+000	3.467920e+001
3.522505e+000	3.553680e+001
3.542074e+000	3.537600e+001
3.561644e+000	3.532240e+001
3.581213e+000	3.607280e+001
3.600783e+000	3.505440e+001
3.620352e+000	3.328560e+001
3.639922e+000	3.167760e+001
3.659491e+000	3.371440e+001
3.679061e+000	3.280320e+001
3.698630e+000	3.226720e+001
3.718200e+000	3.258880e+001
3.737769e+000	3.140960e+001
3.757339e+000	3.221360e+001
3.776908e+000	3.178480e+001
3.796477e+000	3.216000e+001
3.816047e+000	3.312480e+001
3.835617e+000	3.430400e+001
3.855186e+000	3.387520e+001
3.874755e+000	3.189200e+001
3.894325e+000	3.098080e+001
3.913894e+000	3.108800e+001
3.933464e+000	3.087360e+001
3.953033e+000	3.183840e+001
3.972603e+000	3.173120e+001
3.992172e+000	3.178480e+001
4.011742e+000	3.232080e+001
4.031311e+000	3.387520e+001
4.050881e+000	3.296400e+001
4.070450e+000	3.205280e+001
4.090020e+000	3.151680e+001
4.109589e+000	3.199920e+001
4.129158e+000	3.221360e+001
4.148728e+000	3.360720e+001
4.168297e+000	3.494720e+001
4.187867e+000	3.167760e+001
4.207436e+000	3.140960e+001
4.227006e+000	3.124880e+001
4.246575e+000	3.178480e+001
4.266145e+000	3.317840e+001
4.285714e+000	3.607280e+001
4.305284e+000	3.730560e+001
4.324853e+000	3.966400e+001
4.344422e+000	3.918160e+001
4.363992e+000	3.794880e+001
4.383562e+000	3.944960e+001
4.403131e+000	4.143280e+001
4.422700e+000	3.982480e+001
4.442270e+000	3.987840e+001
4.461840e+000	3.934240e+001
4.481409e+000	3.987840e+001
4.500978e+000	4.137920e+001
4.520548e+000	4.132560e+001
4.540118e+000	4.111120e+001
4.559687e+000	4.089680e+001
4.579256e+000	4.116480e+001
4.598826e+000	4.245120e+001
4.618395e+000	4.330880e+001
4.637965e+000	4.223680e+001
4.657534e+000	4.095040e+001
4.677104e+000	3.912800e+001
4.696673e+000	3.671600e+001
4.716243e+000	3.548320e+001
4.735812e+000	3.559040e+001
4.755382e+000	3.532240e+001
4.774951e+000	3.569760e+001
4.794520e+000	3.607280e+001
4.814090e+000	3.575120e+001
4.833659e+000	3.612640e+001
4.853229e+000	3.655520e+001
4.872798e+000	3.671600e+001
4.892368e+000	3.660880e+001
4.911937e+000	3.644800e+001
4.931507e+000	3.693040e+001
4.951076e+000	3.709120e+001
4.970646e+000	3.741280e+001
4.990215e+000	3.687680e+001
5.009785e+000	3.596560e+001
5.029354e+000	3.596560e+001
5.048923e+000	3.280320e+001
5.068493e+000	3.339280e+001
5.088063e+000	3.355360e+001
5.107632e+000	3.355360e+001
5.127201e+000	3.446480e+001
5.146771e+000	3.414320e+001
5.166341e+000	3.419680e+001
5.185910e+000	3.419680e+001
5.205479e+000	3.392880e+001
5.225049e+000	3.467920e+001
5.244618e+000	3.414320e+001
5.264188e+000	3.473280e+001
5.283757e+000	3.559040e+001
5.303327e+000	3.526880e+001
5.322896e+000	3.526880e+001
5.342466e+000	3.542960e+001
5.362035e+000	3.575120e+001
5.381605e+000	3.435760e+001
5.401174e+000	3.484000e+001
5.420743e+000	3.360720e+001
5.440313e+000	3.430400e+001
5.459883e+000	3.274960e+001
5.479452e+000	3.135600e+001
5.499021e+000	3.135600e+001
5.518591e+000	2.583520e+001
5.538161e+000	2.395920e+001
5.557730e+000	1.672320e+001
5.577299e+000	1.055920e+001
5.596869e+000	6.860799e+000
5.616438e+000	1.125600e+000
5.636008e+000	-5.306400e+000
5.655577e+000	-1.029120e+001
5.675147e+000	-1.436480e+001
5.694716e+000	-2.149360e+001
5.714286e+000	-2.931920e+001
5.733855e+000	-3.891360e+001
5.753424e+000	-4.556000e+001
5.772994e+000	-5.301040e+001
5.792564e+000	-6.056800e+001
5.812133e+000	-6.860800e+001
5.831702e+000	-7.118080e+001
5.851272e+000	-7.118080e+001
5.870842e+000	-7.107359e+001
5.890411e+000	-7.075199e+001
5.909980e+000	-7.112720e+001
5.929550e+000	-7.096639e+001
5.949119e+000	-6.994799e+001
5.968689e+000	-7.123440e+001
5.988258e+000	-7.139520e+001
6.007828e+000	-7.144880e+001
6.027397e+000	-7.155599e+001
6.046967e+000	-7.080560e+001
6.066536e+000	-7.118080e+001
6.086106e+000	-7.085919e+001
6.105675e+000	-7.118080e+001
6.125244e+000	-6.903679e+001
6.144814e+000	-7.037680e+001
6.164384e+000	-6.973359e+001
6.183953e+000	-7.123440e+001
6.203522e+000	-6.989440e+001
6.223092e+000	-7.053760e+001
6.242662e+000	-6.646400e+001
6.262231e+000	-6.673200e+001
6.281800e+000	-6.930480e+001
6.301370e+000	-7.053760e+001
6.320939e+000	-6.828640e+001
6.340509e+000	-6.694640e+001
6.360078e+000	-7.059120e+001
6.379648e+000	-7.107359e+001
6.399217e+000	-7.010880e+001
6.418787e+000	-6.839360e+001
6.438356e+000	-7.075199e+001
