    nm         	nm
3.106657e+001	6.644238e-001
3.100578e+001	5.828279e-001
3.094498e+001	5.595148e-001
3.088419e+001	5.478582e-001
3.082339e+001	4.312926e-001
3.076260e+001	2.797574e-001
3.070181e+001	3.351260e-001
3.064101e+001	2.817001e-001
3.058022e+001	2.185605e-001
3.051942e+001	1.505639e-001
3.045863e+001	8.645280e-002
3.039784e+001	3.011277e-002
3.033704e+001	-2.039898e-002
3.027625e+001	-8.451004e-002
3.021545e+001	-1.554208e-001
3.015466e+001	-2.117608e-001
3.009387e+001	-2.613012e-001
3.003307e+001	-3.127843e-001
2.997228e+001	-3.671816e-001
2.991148e+001	-4.244930e-001
2.985069e+001	-4.759761e-001
2.978989e+001	-5.245451e-001
2.972910e+001	-5.750568e-001
2.966830e+001	-6.255686e-001
2.960751e+001	-6.789945e-001
2.954671e+001	-7.343631e-001
2.948591e+001	-7.858463e-001
2.942512e+001	-8.383008e-001
2.936432e+001	-8.946408e-001
2.930353e+001	-9.558377e-001
2.924273e+001	-1.021892e+000
2.918194e+001	-1.085031e+000
2.912114e+001	-1.141371e+000
2.906034e+001	-1.203540e+000
2.899955e+001	-1.273479e+000
2.893875e+001	-1.341475e+000
2.887796e+001	-1.404615e+000
2.881716e+001	-1.459984e+000
2.875636e+001	-1.522152e+000
2.869557e+001	-1.585292e+000
2.863477e+001	-1.642603e+000
2.857398e+001	-1.697001e+000
2.851318e+001	-1.752369e+000
2.845239e+001	-1.801910e+000
2.839159e+001	-1.853393e+000
2.833079e+001	-1.906818e+000
2.827000e+001	-1.959273e+000
2.820920e+001	-2.010756e+000
2.814841e+001	-2.058354e+000
2.808761e+001	-2.106923e+000
2.802681e+001	-2.166177e+000
2.796602e+001	-2.229317e+000
2.790522e+001	-2.285657e+000
2.784443e+001	-2.336168e+000
2.778363e+001	-2.392508e+000
2.772284e+001	-2.463419e+000
2.766204e+001	-2.533359e+000
2.760124e+001	-2.590670e+000
2.754045e+001	-2.647010e+000
2.747965e+001	-2.712092e+000
2.741886e+001	-2.782032e+000
2.735806e+001	-2.847114e+000
2.729726e+001	-2.901511e+000
2.723647e+001	-2.953966e+000
2.717567e+001	-3.011277e+000
2.711488e+001	-3.072474e+000
2.705408e+001	-3.126872e+000
