    kHz         	 V
3.070314e+002	3.555603e-001
3.070374e+002	3.571167e-001
3.070434e+002	3.587646e-001
3.070494e+002	3.611145e-001
3.070554e+002	3.625793e-001
3.070614e+002	3.642883e-001
3.070675e+002	3.664551e-001
3.070735e+002	3.680725e-001
3.070795e+002	3.703918e-001
3.070855e+002	3.721924e-001
3.070915e+002	3.748169e-001
3.070976e+002	3.774109e-001
3.071036e+002	3.786621e-001
3.071096e+002	3.805542e-001
3.071156e+002	3.825073e-001
3.071216e+002	3.849792e-001
3.071277e+002	3.870239e-001
3.071337e+002	3.897705e-001
3.071397e+002	3.910522e-001
3.071457e+002	3.942871e-001
3.071517e+002	3.958130e-001
3.071578e+002	3.980408e-001
3.071637e+002	3.993225e-001
3.071698e+002	4.016113e-001
3.071758e+002	4.045715e-001
3.071818e+002	4.060669e-001
3.071878e+002	4.092102e-001
3.071938e+002	4.106445e-001
3.071999e+002	4.125366e-001
3.072059e+002	4.158936e-001
3.072119e+002	4.169922e-001
3.072179e+002	4.199219e-001
3.072239e+002	4.225159e-001
3.072299e+002	4.250488e-001
3.072360e+002	4.266357e-001
3.072420e+002	4.295654e-001
3.072480e+002	4.313354e-001
3.072540e+002	4.334106e-001
3.072600e+002	4.363098e-001
3.072661e+002	4.377441e-001
3.072721e+002	4.403381e-001
3.072781e+002	4.427490e-001
3.072841e+002	4.444885e-001
3.072901e+002	4.466553e-001
3.072962e+002	4.490662e-001
3.073022e+002	4.514160e-001
3.073082e+002	4.536133e-001
3.073142e+002	4.554749e-001
3.073202e+002	4.574585e-001
3.073263e+002	4.593811e-001
3.073322e+002	4.607239e-001
3.073383e+002	4.634094e-001
3.073443e+002	4.658508e-001
3.073503e+002	4.671326e-001
3.073563e+002	4.685974e-001
3.073623e+002	4.714661e-001
3.073684e+002	4.725647e-001
3.073744e+002	4.754944e-001
3.073804e+002	4.765930e-001
3.073864e+002	4.787598e-001
3.073924e+002	4.805908e-001
3.073985e+002	4.818726e-001
3.074045e+002	4.832153e-001
3.074105e+002	4.844360e-001
3.074165e+002	4.869995e-001
3.074225e+002	4.878845e-001
3.074285e+002	4.895630e-001
3.074346e+002	4.902649e-001
3.074406e+002	4.914246e-001
3.074466e+002	4.928284e-001
3.074526e+002	4.936218e-001
3.074586e+002	4.952393e-001
3.074647e+002	4.959717e-001
3.074707e+002	4.966125e-001
3.074767e+002	4.972229e-001
3.074827e+002	4.976501e-001
3.074887e+002	4.988098e-001
3.074948e+002	4.990540e-001
3.075007e+002	4.992371e-001
3.075068e+002	4.992371e-001
3.075128e+002	4.996338e-001
3.075188e+002	4.994202e-001
3.075248e+002	4.989929e-001
3.075308e+002	5.001831e-001
3.075369e+002	4.984741e-001
3.075429e+002	4.996643e-001
3.075489e+002	4.996338e-001
3.075549e+002	4.984741e-001
3.075609e+002	4.971619e-001
3.075670e+002	4.973450e-001
3.075730e+002	4.947510e-001
3.075790e+002	4.952087e-001
3.075850e+002	4.939575e-001
3.075910e+002	4.922180e-001
3.075971e+002	4.905701e-001
3.076031e+002	4.888916e-001
3.076091e+002	4.879761e-001
3.076151e+002	4.853210e-001
3.076211e+002	4.837952e-001
3.076271e+002	4.818115e-001
3.076332e+002	4.791870e-001
3.076392e+002	4.764709e-001
3.076452e+002	4.745789e-001
3.076512e+002	4.721069e-001
3.076572e+002	4.688721e-001
3.076633e+002	4.656372e-001
3.076693e+002	4.631042e-001
3.076753e+002	4.603882e-001
3.076813e+002	4.571838e-001
3.076873e+002	4.540710e-001
3.076933e+002	4.493713e-001
3.076993e+002	4.464417e-001
3.077054e+002	4.421387e-001
3.077114e+002	4.384766e-001
3.077174e+002	4.346924e-001
3.077234e+002	4.313965e-001
3.077294e+002	4.266052e-001
3.077355e+002	4.227905e-001
3.077415e+002	4.186096e-001
3.077475e+002	4.136658e-001
3.077535e+002	4.088440e-001
3.077595e+002	4.042969e-001
3.077656e+002	3.996277e-001
3.077716e+002	3.958435e-001
3.077776e+002	3.900757e-001
3.077836e+002	3.858337e-001
3.077896e+002	3.799438e-001
3.077957e+002	3.747253e-001
3.078017e+002	3.705139e-001
3.078077e+002	3.651733e-001
3.078137e+002	3.600159e-001
3.078197e+002	3.548279e-001
3.078257e+002	3.494263e-001
3.078318e+002	3.437500e-001
3.078378e+002	3.383179e-001
3.078438e+002	3.325806e-001
3.078498e+002	3.272705e-001
3.078558e+002	3.226013e-001
3.078618e+002	3.175049e-001
3.078678e+002	3.119507e-001
3.078739e+002	3.059387e-001
3.078799e+002	3.005676e-001
3.078859e+002	2.947388e-001
3.078919e+002	2.892456e-001
3.078979e+002	2.843323e-001
3.079040e+002	2.790833e-001
3.079100e+002	2.735596e-001
3.079160e+002	2.680664e-001
3.079220e+002	2.632141e-001
3.079280e+002	2.581787e-001
3.079341e+002	2.530823e-001
3.079401e+002	2.482605e-001
3.079461e+002	2.436218e-001
3.079521e+002	2.389221e-001
3.079581e+002	2.335815e-001
3.079642e+002	2.297668e-001
3.079702e+002	2.258301e-001
3.079762e+002	2.209167e-001
3.079822e+002	2.178040e-001
3.079882e+002	2.144470e-001
3.079943e+002	2.108154e-001
3.080002e+002	2.068481e-001
3.080063e+002	2.043152e-001
3.080123e+002	2.008057e-001
3.080183e+002	1.983337e-001
3.080243e+002	1.959534e-001
3.080303e+002	1.936340e-001
3.080364e+002	1.921082e-001
3.080424e+002	1.908875e-001
3.080484e+002	1.884460e-001
3.080544e+002	1.865234e-001
3.080604e+002	1.862183e-001
3.080664e+002	1.849060e-001
3.080725e+002	1.843567e-001
3.080785e+002	1.839600e-001
3.080845e+002	1.836853e-001
3.080905e+002	1.831055e-001
3.080965e+002	1.834717e-001
3.081026e+002	1.835327e-001
3.081086e+002	1.830750e-001
3.081146e+002	1.842041e-001
3.081206e+002	1.838684e-001
3.081266e+002	1.842346e-001
3.081327e+002	1.842957e-001
3.081387e+002	1.856689e-001
3.081447e+002	1.857300e-001
3.081507e+002	1.859741e-001
3.081567e+002	1.865845e-001
3.081628e+002	1.868286e-001
3.081687e+002	1.877136e-001
3.081748e+002	1.881714e-001
3.081808e+002	1.887512e-001
3.081868e+002	1.887817e-001
3.081928e+002	1.883240e-001
3.081988e+002	1.894226e-001
3.082049e+002	1.896362e-001
3.082109e+002	1.902466e-001
3.082169e+002	1.894531e-001
3.082229e+002	1.896057e-001
3.082289e+002	1.896057e-001
3.082350e+002	1.897583e-001
3.082410e+002	1.895447e-001
3.082470e+002	1.894531e-001
3.082530e+002	1.896667e-001
3.082590e+002	1.894531e-001
3.082650e+002	1.891785e-001
3.082711e+002	1.883850e-001
3.082771e+002	1.887207e-001
3.082831e+002	1.877441e-001
3.082891e+002	1.875610e-001
3.082951e+002	1.872864e-001
3.083012e+002	1.862488e-001
3.083072e+002	1.857605e-001
3.083132e+002	1.855164e-001
3.083192e+002	1.845093e-001
3.083252e+002	1.837769e-001
3.083313e+002	1.836548e-001
