    kHz         	 V
2.985701e+002	2.409973e-001
2.985760e+002	2.437744e-001
2.985818e+002	2.463379e-001
2.985877e+002	2.484741e-001
2.985935e+002	2.527771e-001
2.985994e+002	2.555237e-001
2.986052e+002	2.578125e-001
2.986111e+002	2.613525e-001
2.986169e+002	2.649536e-001
2.986228e+002	2.673340e-001
2.986286e+002	2.713013e-001
2.986345e+002	2.748413e-001
2.986403e+002	2.788391e-001
2.986462e+002	2.826538e-001
2.986520e+002	2.853088e-001
2.986579e+002	2.878723e-001
2.986637e+002	2.926331e-001
2.986696e+002	2.960815e-001
2.986754e+002	3.003540e-001
2.986813e+002	3.033752e-001
2.986872e+002	3.078918e-001
2.986930e+002	3.118286e-001
2.986988e+002	3.158264e-001
2.987047e+002	3.203735e-001
2.987106e+002	3.248901e-001
2.987164e+002	3.289185e-001
2.987223e+002	3.338928e-001
2.987281e+002	3.365479e-001
2.987340e+002	3.424072e-001
2.987398e+002	3.462524e-001
2.987457e+002	3.511658e-001
2.987515e+002	3.554993e-001
2.987574e+002	3.602905e-001
2.987632e+002	3.637085e-001
2.987691e+002	3.692627e-001
2.987749e+002	3.740234e-001
2.987808e+002	3.790894e-001
2.987866e+002	3.841553e-001
2.987925e+002	3.891907e-001
2.987983e+002	3.940735e-001
2.988042e+002	3.983459e-001
2.988100e+002	4.039001e-001
2.988159e+002	4.083252e-001
2.988217e+002	4.132080e-001
2.988276e+002	4.189148e-001
2.988334e+002	4.230042e-001
2.988393e+002	4.286804e-001
2.988451e+002	4.335938e-001
2.988510e+002	4.400635e-001
2.988568e+002	4.446716e-001
2.988627e+002	4.504395e-001
2.988685e+002	4.535522e-001
2.988744e+002	4.591980e-001
2.988802e+002	4.625549e-001
2.988861e+002	4.689026e-001
2.988919e+002	4.728699e-001
2.988978e+002	4.784546e-001
2.989037e+002	4.810181e-001
2.989095e+002	4.871521e-001
2.989153e+002	4.902649e-001
2.989212e+002	4.939880e-001
2.989271e+002	4.981995e-001
2.989329e+002	5.027161e-001
2.989388e+002	5.055847e-001
2.989446e+002	5.081787e-001
2.989504e+002	5.101013e-001
2.989563e+002	5.129089e-001
2.989622e+002	5.159302e-001
2.989680e+002	5.175781e-001
2.989738e+002	5.201111e-001
2.989797e+002	5.211182e-001
2.989856e+002	5.233765e-001
2.989914e+002	5.249023e-001
2.989973e+002	5.245667e-001
2.990031e+002	5.246582e-001
2.990090e+002	5.245056e-001
2.990148e+002	5.233459e-001
2.990207e+002	5.231934e-001
2.990265e+002	5.225830e-001
2.990324e+002	5.213623e-001
2.990382e+002	5.187378e-001
2.990441e+002	5.173950e-001
2.990499e+002	5.154724e-001
2.990558e+002	5.132141e-001
2.990616e+002	5.096436e-001
2.990675e+002	5.074768e-001
2.990733e+002	5.041504e-001
2.990792e+002	5.004883e-001
2.990850e+002	4.967651e-001
2.990909e+002	4.936829e-001
2.990967e+002	4.892883e-001
2.991026e+002	4.855347e-001
2.991084e+002	4.817810e-001
2.991143e+002	4.760437e-001
2.991201e+002	4.723206e-001
2.991260e+002	4.662781e-001
2.991318e+002	4.626465e-001
2.991377e+002	4.578552e-001
2.991435e+002	4.537048e-001
2.991494e+002	4.488831e-001
2.991553e+002	4.445801e-001
2.991611e+002	4.378052e-001
2.991669e+002	4.333801e-001
2.991728e+002	4.298401e-001
2.991787e+002	4.237976e-001
2.991845e+002	4.194031e-001
2.991903e+002	4.148254e-001
2.991962e+002	4.101563e-001
2.992021e+002	4.045715e-001
2.992079e+002	3.992004e-001
2.992138e+002	3.955078e-001
2.992196e+002	3.913574e-001
2.992255e+002	3.859558e-001
2.992313e+002	3.799438e-001
2.992372e+002	3.769836e-001
2.992430e+002	3.730164e-001
2.992489e+002	3.668823e-001
2.992547e+002	3.630676e-001
2.992606e+002	3.594360e-001
2.992664e+002	3.544922e-001
2.992723e+002	3.511658e-001
2.992781e+002	3.471985e-001
2.992840e+002	3.419800e-001
2.992898e+002	3.395386e-001
2.992957e+002	3.346558e-001
2.993015e+002	3.302612e-001
2.993074e+002	3.260803e-001
2.993132e+002	3.232727e-001
2.993191e+002	3.196106e-001
2.993249e+002	3.162231e-001
2.993308e+002	3.122253e-001
2.993366e+002	3.096313e-001
2.993425e+002	3.048706e-001
2.993483e+002	3.020020e-001
2.993542e+002	2.983398e-001
2.993600e+002	2.948303e-001
2.993659e+002	2.922668e-001
2.993718e+002	2.883606e-001
2.993776e+002	2.869263e-001
2.993834e+002	2.826843e-001
2.993893e+002	2.789307e-001
2.993952e+002	2.755432e-001
2.994010e+002	2.737732e-001
2.994068e+002	2.710571e-001
2.994127e+002	2.677002e-001
2.994186e+002	2.653503e-001
2.994244e+002	2.635193e-001
2.994303e+002	2.607117e-001
2.994361e+002	2.572632e-001
2.994420e+002	2.541809e-001
2.994478e+002	2.524109e-001
2.994537e+002	2.499695e-001
2.994595e+002	2.467957e-001
2.994654e+002	2.442627e-001
2.994712e+002	2.433167e-001
2.994771e+002	2.387390e-001
2.994829e+002	2.372437e-001
2.994888e+002	2.342834e-001
2.994946e+002	2.320557e-001
2.995005e+002	2.300110e-001
2.995063e+002	2.273560e-001
2.995122e+002	2.267151e-001
2.995180e+002	2.236023e-001
2.995239e+002	2.220154e-001
2.995297e+002	2.199707e-001
2.995356e+002	2.183228e-001
2.995414e+002	2.149353e-001
2.995473e+002	2.145386e-001
2.995531e+002	2.121277e-001
2.995590e+002	2.094116e-001
2.995648e+002	2.086182e-001
2.995707e+002	2.062683e-001
2.995765e+002	2.044373e-001
2.995824e+002	2.017822e-001
2.995883e+002	2.005005e-001
2.995941e+002	1.988831e-001
2.995999e+002	1.960449e-001
2.996058e+002	1.943665e-001
2.996117e+002	1.942444e-001
2.996175e+002	1.913452e-001
2.996233e+002	1.888428e-001
2.996292e+002	1.882324e-001
2.996351e+002	1.856689e-001
2.996409e+002	1.833496e-001
2.996468e+002	1.822510e-001
2.996526e+002	1.813354e-001
2.996585e+002	1.793518e-001
2.996643e+002	1.778564e-001
2.996702e+002	1.765137e-001
2.996760e+002	1.748352e-001
2.996819e+002	1.733398e-001
2.996877e+002	1.720581e-001
2.996936e+002	1.701050e-001
2.996994e+002	1.680908e-001
2.997053e+002	1.661987e-001
2.997111e+002	1.656799e-001
2.997170e+002	1.640015e-001
2.997228e+002	1.622314e-001
2.997287e+002	1.612244e-001
2.997345e+002	1.586609e-001
2.997404e+002	1.587830e-001
2.997462e+002	1.571045e-001
2.997521e+002	1.548462e-001
2.997579e+002	1.538696e-001
2.997638e+002	1.521301e-001
2.997696e+002	1.517944e-001
2.997755e+002	1.501770e-001
2.997813e+002	1.483154e-001
2.997872e+002	1.464539e-001
2.997930e+002	1.463623e-001
2.997989e+002	1.444397e-001
2.998048e+002	1.438904e-001
2.998106e+002	1.418762e-001
2.998164e+002	1.401978e-001
2.998223e+002	1.393433e-001
2.998282e+002	1.375427e-001
2.998340e+002	1.359558e-001
2.998398e+002	1.348877e-001
2.998457e+002	1.330566e-001
2.998516e+002	1.327820e-001
2.998574e+002	1.310120e-001
2.998632e+002	1.300659e-001
2.998691e+002	1.291504e-001
2.998749e+002	1.277161e-001
2.998808e+002	1.266479e-001
2.998867e+002	1.246643e-001
2.998925e+002	1.249695e-001
2.998983e+002	1.244202e-001
2.999042e+002	1.212158e-001
2.999101e+002	1.207886e-001
2.999159e+002	1.204529e-001
2.999218e+002	1.190186e-001
2.999276e+002	1.177673e-001
2.999335e+002	1.171875e-001
2.999393e+002	1.155701e-001
2.999452e+002	1.155701e-001
2.999510e+002	1.140747e-001
2.999569e+002	1.130066e-001
2.999627e+002	1.114197e-001
2.999686e+002	1.113892e-001
2.999744e+002	1.102905e-001
2.999803e+002	1.089172e-001
2.999861e+002	1.082153e-001
2.999920e+002	1.075439e-001
2.999978e+002	1.075745e-001
3.000037e+002	1.061707e-001
3.000095e+002	1.051636e-001
3.000154e+002	1.049500e-001
3.000213e+002	1.040039e-001
3.000271e+002	1.030273e-001
3.000329e+002	1.018066e-001
3.000388e+002	1.013489e-001
3.000446e+002	1.007690e-001
3.000505e+002	9.988403e-002
3.000563e+002	9.988403e-002
3.000622e+002	9.912109e-002
3.000680e+002	9.719849e-002
3.000739e+002	9.674072e-002
3.000797e+002	9.634399e-002
3.000856e+002	9.667969e-002
3.000914e+002	9.481812e-002
3.000973e+002	9.466553e-002
3.001032e+002	9.289551e-002
3.001090e+002	9.356689e-002
3.001148e+002	9.341431e-002
3.001207e+002	9.194946e-002
3.001266e+002	9.240723e-002
3.001324e+002	9.124756e-002
3.001383e+002	9.066772e-002
3.001441e+002	8.996582e-002
3.001500e+002	9.054565e-002
3.001558e+002	9.039307e-002
3.001617e+002	8.981323e-002
3.001675e+002	8.749390e-002
3.001734e+002	8.804321e-002
3.001792e+002	8.758545e-002
3.001851e+002	8.773804e-002
3.001909e+002	8.697510e-002
3.001968e+002	8.651733e-002
3.002026e+002	8.663940e-002
3.002085e+002	8.666992e-002
3.002143e+002	8.422852e-002
3.002202e+002	8.493042e-002
3.002260e+002	8.578491e-002
3.002319e+002	8.416748e-002
3.002377e+002	8.370972e-002
3.002436e+002	8.407593e-002
3.002494e+002	8.407593e-002
3.002553e+002	8.294678e-002
3.002611e+002	8.337402e-002
3.002670e+002	8.264160e-002
3.002728e+002	8.261108e-002
3.002787e+002	8.139038e-002
3.002845e+002	8.190918e-002
3.002904e+002	8.148193e-002
3.002962e+002	8.093262e-002
3.003021e+002	8.139038e-002
3.003079e+002	8.068848e-002
3.003138e+002	8.081055e-002
3.003197e+002	8.020020e-002
3.003255e+002	8.047485e-002
3.003313e+002	8.001709e-002
3.003372e+002	8.026123e-002
3.003431e+002	7.846069e-002
3.003489e+002	7.861328e-002
3.003548e+002	7.858276e-002
3.003606e+002	8.007813e-002
3.003665e+002	7.760620e-002
3.003723e+002	7.873535e-002
3.003782e+002	7.830811e-002
3.003840e+002	7.778931e-002
3.003899e+002	7.714844e-002
3.003957e+002	7.788086e-002
