    µm         	nm
0.000000e+000	-6.201520e+001
1.956947e-002	-6.180080e+001
3.913894e-002	-5.992479e+001
5.870842e-002	-6.030000e+001
7.827789e-002	-6.142560e+001
9.784736e-002	-6.228320e+001
1.174168e-001	-6.206880e+001
1.369863e-001	-6.163999e+001
1.565558e-001	-6.056800e+001
1.761252e-001	-6.099680e+001
1.956947e-001	-6.067520e+001
2.152642e-001	-6.088960e+001
2.348337e-001	-6.265839e+001
2.544031e-001	-6.260480e+001
2.739726e-001	-6.078240e+001
2.935421e-001	-5.981759e+001
3.131115e-001	-6.158640e+001
3.326810e-001	-6.378400e+001
3.522505e-001	-6.373040e+001
3.718200e-001	-6.303360e+001
3.913894e-001	-6.228320e+001
4.109589e-001	-6.298000e+001
4.305284e-001	-6.292640e+001
4.500978e-001	-6.153279e+001
4.696673e-001	-6.099680e+001
4.892368e-001	-6.271200e+001
5.088062e-001	-6.346239e+001
5.283757e-001	-6.362320e+001
5.479452e-001	-6.399840e+001
5.675147e-001	-6.410560e+001
5.870841e-001	-6.394480e+001
6.066536e-001	-6.356959e+001
6.262231e-001	-6.394480e+001
6.457926e-001	-6.378400e+001
6.653621e-001	-6.394480e+001
6.849315e-001	-6.399840e+001
7.045010e-001	-6.389120e+001
7.240704e-001	-6.319440e+001
7.436399e-001	-6.260480e+001
7.632094e-001	-6.330160e+001
7.827788e-001	-6.281920e+001
8.023483e-001	-6.265839e+001
8.219178e-001	-6.244399e+001
8.414873e-001	-6.346239e+001
8.610567e-001	-6.383760e+001
8.806262e-001	-6.180080e+001
9.001957e-001	-5.917440e+001
9.197652e-001	-5.649440e+001
9.393347e-001	-5.386800e+001
9.589041e-001	-5.118800e+001
9.784736e-001	-4.856160e+001
9.980430e-001	-4.593520e+001
1.017612e+000	-4.330880e+001
1.037182e+000	-4.062880e+001
1.056751e+000	-3.805600e+001
1.076321e+000	-3.537600e+001
1.095890e+000	-3.274960e+001
1.115460e+000	-3.006960e+001
1.135029e+000	-2.744320e+001
1.154599e+000	-2.476320e+001
1.174168e+000	-2.208320e+001
1.193738e+000	-1.940320e+001
1.213307e+000	-1.677680e+001
1.232877e+000	-1.409680e+001
1.252446e+000	-1.147040e+001
1.272016e+000	-8.790400e+000
1.291585e+000	-6.164000e+000
1.311155e+000	-3.430400e+000
1.330724e+000	-8.040000e-001
1.350293e+000	1.876000e+000
1.369863e+000	4.556000e+000
1.389432e+000	7.236000e+000
1.409002e+000	9.916000e+000
1.428571e+000	1.259600e+001
1.448141e+000	1.527600e+001
1.467710e+000	1.800960e+001
1.487280e+000	2.063600e+001
1.506849e+000	2.336960e+001
1.526419e+000	2.604960e+001
1.545988e+000	2.878320e+001
1.565558e+000	3.140960e+001
1.585127e+000	3.414320e+001
1.604697e+000	3.666240e+001
1.624266e+000	3.837760e+001
1.643836e+000	3.746640e+001
1.663405e+000	3.671600e+001
1.682975e+000	3.848480e+001
1.702544e+000	3.966400e+001
1.722113e+000	3.928880e+001
1.741683e+000	3.982480e+001
1.761252e+000	4.068240e+001
1.780822e+000	3.987840e+001
1.800391e+000	3.869920e+001
1.819961e+000	3.939600e+001
1.839530e+000	4.030720e+001
1.859100e+000	4.111120e+001
1.878669e+000	4.078960e+001
1.898239e+000	4.052160e+001
1.917808e+000	4.084320e+001
1.937378e+000	4.046800e+001
1.956947e+000	4.089680e+001
1.976517e+000	4.191520e+001
1.996086e+000	4.245120e+001
2.015656e+000	4.159360e+001
2.035225e+000	4.095040e+001
2.054795e+000	4.052160e+001
2.074364e+000	3.923520e+001
2.093934e+000	3.827040e+001
2.113503e+000	3.784160e+001
2.133072e+000	3.778800e+001
2.152642e+000	3.810960e+001
2.172211e+000	3.869920e+001
2.191781e+000	3.961040e+001
2.211350e+000	3.993200e+001
2.230920e+000	3.853840e+001
2.250489e+000	3.741280e+001
2.270059e+000	3.714480e+001
2.289628e+000	3.741280e+001
2.309198e+000	3.784160e+001
2.328767e+000	3.768080e+001
2.348336e+000	3.687680e+001
2.367906e+000	3.655520e+001
2.387475e+000	3.655520e+001
2.407045e+000	3.693040e+001
2.426614e+000	3.735920e+001
2.446184e+000	3.752000e+001
2.465753e+000	3.746640e+001
2.485323e+000	3.693040e+001
2.504892e+000	3.687680e+001
2.524462e+000	3.666240e+001
2.544031e+000	3.650160e+001
2.563601e+000	3.709120e+001
2.583170e+000	3.698400e+001
2.602740e+000	3.746640e+001
2.622309e+000	3.902080e+001
2.641879e+000	4.036080e+001
2.661448e+000	4.084320e+001
2.681018e+000	4.089680e+001
2.700587e+000	4.084320e+001
2.720157e+000	4.154000e+001
2.739726e+000	4.218320e+001
2.759296e+000	4.223680e+001
2.778865e+000	4.223680e+001
2.798434e+000	4.218320e+001
2.818004e+000	4.234400e+001
