    kHz         	 V
2.985309e+002	2.628479e-001
2.985368e+002	2.656250e-001
2.985426e+002	2.684937e-001
2.985485e+002	2.710571e-001
2.985543e+002	2.746582e-001
2.985602e+002	2.767944e-001
2.985660e+002	2.805481e-001
2.985719e+002	2.827759e-001
2.985777e+002	2.860718e-001
2.985836e+002	2.898254e-001
2.985894e+002	2.920532e-001
2.985953e+002	2.963867e-001
2.986011e+002	2.986755e-001
2.986070e+002	3.025208e-001
2.986128e+002	3.054810e-001
2.986187e+002	3.089294e-001
2.986245e+002	3.125000e-001
2.986304e+002	3.157959e-001
2.986362e+002	3.196411e-001
2.986421e+002	3.228149e-001
2.986479e+002	3.270569e-001
2.986538e+002	3.305664e-001
2.986596e+002	3.349915e-001
2.986655e+002	3.382568e-001
2.986713e+002	3.434753e-001
2.986772e+002	3.455811e-001
2.986830e+002	3.502502e-001
2.986889e+002	3.540039e-001
2.986948e+002	3.584290e-001
2.987006e+002	3.627930e-001
2.987064e+002	3.669434e-001
2.987123e+002	3.703918e-001
2.987181e+002	3.744507e-001
2.987240e+002	3.797302e-001
2.987298e+002	3.829651e-001
2.987357e+002	3.883362e-001
2.987415e+002	3.916016e-001
2.987474e+002	3.961792e-001
2.987532e+002	4.006958e-001
2.987591e+002	4.045410e-001
2.987649e+002	4.096985e-001
2.987708e+002	4.131775e-001
2.987767e+002	4.177246e-001
2.987825e+002	4.220276e-001
2.987883e+002	4.262085e-001
2.987942e+002	4.308777e-001
2.988000e+002	4.355164e-001
2.988059e+002	4.392090e-001
2.988118e+002	4.434814e-001
2.988176e+002	4.476013e-001
2.988234e+002	4.511719e-001
2.988293e+002	4.547729e-001
2.988352e+002	4.591675e-001
2.988410e+002	4.632568e-001
2.988468e+002	4.663696e-001
2.988527e+002	4.696350e-001
2.988586e+002	4.741821e-001
2.988644e+002	4.772034e-001
2.988703e+002	4.805298e-001
2.988761e+002	4.821777e-001
2.988819e+002	4.862976e-001
2.988878e+002	4.882813e-001
2.988937e+002	4.906616e-001
2.988995e+002	4.933167e-001
2.989053e+002	4.953918e-001
2.989112e+002	4.974365e-001
2.989171e+002	4.987183e-001
2.989229e+002	4.999084e-001
2.989287e+002	5.021362e-001
2.989346e+002	5.032654e-001
2.989405e+002	5.035400e-001
2.989463e+002	5.041504e-001
2.989522e+002	5.046387e-001
2.989580e+002	5.050354e-001
2.989638e+002	5.045776e-001
2.989697e+002	5.039368e-001
2.989756e+002	5.042419e-001
2.989814e+002	5.041199e-001
2.989873e+002	5.021362e-001
2.989931e+002	5.006409e-001
2.989990e+002	5.000000e-001
2.990048e+002	4.981689e-001
2.990107e+002	4.966736e-001
2.990165e+002	4.948425e-001
2.990224e+002	4.916992e-001
2.990282e+002	4.894409e-001
2.990341e+002	4.872742e-001
2.990399e+002	4.842834e-001
2.990458e+002	4.821167e-001
2.990516e+002	4.788208e-001
2.990575e+002	4.766846e-001
2.990633e+002	4.725647e-001
2.990692e+002	4.697876e-001
2.990750e+002	4.663391e-001
2.990809e+002	4.637146e-001
2.990867e+002	4.596558e-001
2.990926e+002	4.559937e-001
2.990984e+002	4.517822e-001
2.991043e+002	4.483948e-001
2.991101e+002	4.445496e-001
2.991160e+002	4.404297e-001
2.991218e+002	4.377136e-001
2.991277e+002	4.337463e-001
2.991335e+002	4.301453e-001
2.991394e+002	4.255981e-001
2.991452e+002	4.221191e-001
2.991511e+002	4.185181e-001
2.991569e+002	4.141541e-001
2.991628e+002	4.104004e-001
2.991686e+002	4.071045e-001
2.991745e+002	4.033813e-001
2.991803e+002	3.984680e-001
2.991862e+002	3.954773e-001
2.991920e+002	3.913269e-001
2.991979e+002	3.876038e-001
2.992037e+002	3.849792e-001
2.992096e+002	3.815918e-001
2.992154e+002	3.766785e-001
2.992213e+002	3.741760e-001
2.992271e+002	3.699951e-001
2.992330e+002	3.668213e-001
2.992388e+002	3.634338e-001
2.992447e+002	3.597717e-001
2.992505e+002	3.563843e-001
2.992564e+002	3.530884e-001
2.992622e+002	3.499451e-001
2.992681e+002	3.471985e-001
2.992739e+002	3.432007e-001
2.992798e+002	3.397217e-001
2.992856e+002	3.368530e-001
2.992915e+002	3.340149e-001
2.992973e+002	3.300171e-001
2.993032e+002	3.272400e-001
2.993090e+002	3.241882e-001
2.993149e+002	3.217773e-001
2.993207e+002	3.184814e-001
2.993266e+002	3.158875e-001
2.993324e+002	3.132324e-001
2.993383e+002	3.095703e-001
2.993441e+002	3.072510e-001
2.993500e+002	3.038025e-001
2.993558e+002	3.018494e-001
2.993617e+002	2.990417e-001
2.993675e+002	2.959290e-001
2.993734e+002	2.936096e-001
2.993793e+002	2.909851e-001
2.993851e+002	2.879639e-001
2.993909e+002	2.855530e-001
2.993968e+002	2.838745e-001
2.994026e+002	2.807312e-001
2.994085e+002	2.785339e-001
2.994143e+002	2.765198e-001
2.994202e+002	2.734375e-001
2.994260e+002	2.715149e-001
2.994319e+002	2.683105e-001
2.994377e+002	2.658386e-001
2.994436e+002	2.636414e-001
2.994494e+002	2.612000e-001
2.994553e+002	2.593079e-001
2.994612e+002	2.561646e-001
2.994670e+002	2.549438e-001
2.994728e+002	2.518005e-001
2.994787e+002	2.503662e-001
2.994845e+002	2.476807e-001
2.994904e+002	2.449036e-001
2.994963e+002	2.439575e-001
2.995021e+002	2.411499e-001
2.995079e+002	2.389832e-001
2.995138e+002	2.365112e-001
2.995197e+002	2.338257e-001
2.995255e+002	2.316589e-001
2.995313e+002	2.301025e-001
2.995372e+002	2.278137e-001
2.995431e+002	2.250061e-001
2.995489e+002	2.241211e-001
2.995548e+002	2.217712e-001
2.995606e+002	2.193909e-001
2.995664e+002	2.180481e-001
2.995723e+002	2.159729e-001
2.995782e+002	2.127380e-001
2.995840e+002	2.113647e-001
2.995898e+002	2.097778e-001
2.995957e+002	2.070923e-001
2.996016e+002	2.053223e-001
2.996074e+002	2.035522e-001
2.996132e+002	2.014465e-001
2.996191e+002	1.982117e-001
2.996250e+002	1.970825e-001
2.996308e+002	1.947327e-001
2.996367e+002	1.923218e-001
2.996425e+002	1.900940e-001
2.996483e+002	1.890869e-001
2.996542e+002	1.864929e-001
2.996601e+002	1.850586e-001
2.996659e+002	1.831970e-001
2.996718e+002	1.807251e-001
2.996776e+002	1.781006e-001
2.996835e+002	1.769714e-001
2.996893e+002	1.745911e-001
2.996952e+002	1.726990e-001
2.997010e+002	1.710815e-001
2.997069e+002	1.684265e-001
2.997127e+002	1.674194e-001
2.997186e+002	1.652222e-001
2.997244e+002	1.623535e-001
2.997303e+002	1.609802e-001
2.997361e+002	1.598816e-001
2.997420e+002	1.572571e-001
2.997478e+002	1.549377e-001
2.997537e+002	1.532898e-001
2.997595e+002	1.519470e-001
2.997654e+002	1.499634e-001
2.997712e+002	1.480408e-001
2.997771e+002	1.461487e-001
2.997829e+002	1.450806e-001
2.997888e+002	1.431580e-001
2.997946e+002	1.410522e-001
2.998005e+002	1.398621e-001
2.998063e+002	1.370544e-001
2.998122e+002	1.361694e-001
2.998180e+002	1.348572e-001
2.998239e+002	1.328735e-001
2.998297e+002	1.308899e-001
2.998356e+002	1.295166e-001
2.998414e+002	1.275940e-001
2.998473e+002	1.259766e-001
2.998531e+002	1.250000e-001
2.998590e+002	1.226807e-001
2.998648e+002	1.217651e-001
2.998707e+002	1.205750e-001
2.998765e+002	1.191711e-001
2.998824e+002	1.172485e-001
2.998882e+002	1.149597e-001
2.998941e+002	1.138306e-001
2.998999e+002	1.136780e-001
2.999058e+002	1.125793e-001
2.999116e+002	1.103516e-001
2.999175e+002	1.085815e-001
2.999233e+002	1.079407e-001
2.999292e+002	1.071777e-001
2.999350e+002	1.056824e-001
2.999409e+002	1.045532e-001
2.999467e+002	1.037292e-001
2.999526e+002	1.014099e-001
2.999584e+002	1.015930e-001
2.999643e+002	1.004333e-001
2.999701e+002	9.875488e-002
2.999760e+002	9.747314e-002
2.999818e+002	9.762573e-002
2.999877e+002	9.606934e-002
2.999935e+002	9.475708e-002
2.999994e+002	9.414673e-002
3.000052e+002	9.301758e-002
3.000111e+002	9.289551e-002
3.000169e+002	9.121704e-002
3.000228e+002	9.075928e-002
3.000286e+002	8.901978e-002
3.000345e+002	8.877563e-002
3.000403e+002	8.773804e-002
3.000462e+002	8.853149e-002
3.000520e+002	8.685303e-002
3.000579e+002	8.511353e-002
3.000638e+002	8.547974e-002
3.000696e+002	8.407593e-002
3.000754e+002	8.438110e-002
3.000813e+002	8.297729e-002
3.000872e+002	8.245850e-002
3.000930e+002	8.276367e-002
3.000988e+002	8.166504e-002
3.001047e+002	8.145142e-002
3.001105e+002	8.004761e-002
3.001164e+002	8.026123e-002
3.001223e+002	8.013916e-002
3.001281e+002	7.995605e-002
3.001339e+002	7.876587e-002
3.001398e+002	7.894897e-002
3.001457e+002	7.852173e-002
3.001515e+002	7.785034e-002
3.001573e+002	7.702637e-002
3.001632e+002	7.635498e-002
3.001691e+002	7.589722e-002
3.001749e+002	7.598877e-002
