    kHz         	 V
2.943598e+002	2.829590e-001
2.943656e+002	2.861023e-001
2.943713e+002	2.890930e-001
2.943771e+002	2.921753e-001
2.943829e+002	2.955627e-001
2.943887e+002	2.986755e-001
2.943944e+002	3.022461e-001
2.944002e+002	3.045654e-001
2.944060e+002	3.085327e-001
2.944117e+002	3.113403e-001
2.944175e+002	3.153381e-001
2.944233e+002	3.180542e-001
2.944290e+002	3.222961e-001
2.944348e+002	3.248291e-001
2.944406e+002	3.291321e-001
2.944463e+002	3.321533e-001
2.944521e+002	3.359985e-001
2.944579e+002	3.395996e-001
2.944637e+002	3.437195e-001
2.944694e+002	3.475037e-001
2.944752e+002	3.510132e-001
2.944810e+002	3.537903e-001
2.944867e+002	3.568420e-001
2.944925e+002	3.620300e-001
2.944983e+002	3.643799e-001
2.945040e+002	3.684692e-001
2.945098e+002	3.718567e-001
2.945156e+002	3.759155e-001
2.945213e+002	3.799744e-001
2.945271e+002	3.842163e-001
2.945329e+002	3.866577e-001
2.945387e+002	3.907776e-001
2.945444e+002	3.941650e-001
2.945502e+002	3.978271e-001
2.945560e+002	4.018250e-001
2.945617e+002	4.062500e-001
2.945675e+002	4.101868e-001
2.945733e+002	4.123840e-001
2.945790e+002	4.168396e-001
2.945848e+002	4.205933e-001
2.945906e+002	4.237671e-001
2.945963e+002	4.270325e-001
2.946021e+002	4.307861e-001
2.946079e+002	4.337158e-001
2.946137e+002	4.376221e-001
2.946194e+002	4.404907e-001
2.946252e+002	4.430847e-001
2.946310e+002	4.475098e-001
2.946368e+002	4.499512e-001
2.946425e+002	4.533386e-001
2.946483e+002	4.555359e-001
2.946540e+002	4.590454e-001
2.946598e+002	4.619446e-001
2.946656e+002	4.646301e-001
2.946713e+002	4.662781e-001
2.946771e+002	4.690857e-001
2.946829e+002	4.718323e-001
2.946887e+002	4.749451e-001
2.946944e+002	4.762878e-001
2.947002e+002	4.790344e-001
2.947060e+002	4.805298e-001
2.947117e+002	4.825134e-001
2.947175e+002	4.837952e-001
2.947233e+002	4.862976e-001
2.947290e+002	4.880676e-001
2.947348e+002	4.898682e-001
2.947406e+002	4.902649e-001
2.947463e+002	4.910889e-001
2.947521e+002	4.935303e-001
2.947579e+002	4.941711e-001
2.947637e+002	4.956055e-001
2.947694e+002	4.954224e-001
2.947752e+002	4.966431e-001
2.947810e+002	4.979248e-001
2.947867e+002	4.979553e-001
2.947925e+002	4.982605e-001
2.947983e+002	4.994812e-001
2.948040e+002	4.987488e-001
2.948098e+002	4.987488e-001
2.948156e+002	4.988098e-001
2.948213e+002	4.994202e-001
2.948271e+002	4.982300e-001
2.948329e+002	4.982910e-001
2.948387e+002	4.981995e-001
2.948444e+002	4.981384e-001
2.948502e+002	4.979553e-001
2.948560e+002	4.968262e-001
2.948618e+002	4.959106e-001
2.948675e+002	4.961243e-001
2.948733e+002	4.946289e-001
2.948790e+002	4.938354e-001
2.948848e+002	4.923706e-001
2.948906e+002	4.916687e-001
2.948963e+002	4.897766e-001
2.949021e+002	4.886475e-001
2.949079e+002	4.878845e-001
2.949137e+002	4.863281e-001
2.949194e+002	4.851074e-001
2.949252e+002	4.830322e-001
2.949310e+002	4.820251e-001
2.949368e+002	4.801941e-001
2.949425e+002	4.786987e-001
2.949483e+002	4.762268e-001
2.949540e+002	4.753723e-001
2.949598e+002	4.741821e-001
2.949656e+002	4.716492e-001
2.949713e+002	4.692993e-001
2.949771e+002	4.680176e-001
2.949829e+002	4.667053e-001
2.949887e+002	4.639282e-001
2.949944e+002	4.620056e-001
2.950002e+002	4.599609e-001
2.950060e+002	4.581909e-001
2.950118e+002	4.557800e-001
2.950175e+002	4.533081e-001
2.950233e+002	4.517212e-001
2.950291e+002	4.490051e-001
2.950348e+002	4.469910e-001
2.950406e+002	4.445801e-001
2.950463e+002	4.423523e-001
2.950521e+002	4.398804e-001
2.950579e+002	4.371033e-001
2.950637e+002	4.349976e-001
2.950694e+002	4.324646e-001
2.950752e+002	4.295654e-001
2.950810e+002	4.278564e-001
2.950867e+002	4.243469e-001
2.950925e+002	4.219971e-001
2.950983e+002	4.185791e-001
2.951041e+002	4.165039e-001
2.951098e+002	4.134216e-001
2.951156e+002	4.114380e-001
2.951213e+002	4.075012e-001
2.951271e+002	4.055786e-001
2.951329e+002	4.013672e-001
2.951387e+002	3.989563e-001
2.951444e+002	3.965759e-001
2.951502e+002	3.935242e-001
2.951560e+002	3.897400e-001
2.951617e+002	3.859558e-001
2.951675e+002	3.828125e-001
2.951733e+002	3.794861e-001
2.951791e+002	3.764038e-001
2.951848e+002	3.731689e-001
2.951906e+002	3.692932e-001
2.951963e+002	3.663330e-001
2.952021e+002	3.632202e-001
2.952079e+002	3.593445e-001
2.952137e+002	3.553772e-001
2.952194e+002	3.517761e-001
2.952252e+002	3.486938e-001
2.952310e+002	3.452454e-001
2.952368e+002	3.415833e-001
2.952425e+002	3.382568e-001
2.952483e+002	3.350525e-001
2.952541e+002	3.311768e-001
