    kHz         	 V
2.887484e+002	2.740784e-001
2.887541e+002	2.770996e-001
2.887597e+002	2.799683e-001
2.887654e+002	2.841492e-001
2.887710e+002	2.881165e-001
2.887767e+002	2.917175e-001
2.887823e+002	2.949219e-001
2.887880e+002	2.990112e-001
2.887937e+002	3.033447e-001
2.887993e+002	3.059692e-001
2.888050e+002	3.112488e-001
2.888107e+002	3.140869e-001
2.888163e+002	3.181763e-001
2.888220e+002	3.220215e-001
2.888276e+002	3.258667e-001
2.888333e+002	3.303833e-001
2.888389e+002	3.341980e-001
2.888446e+002	3.384094e-001
2.888503e+002	3.429565e-001
2.888559e+002	3.473511e-001
2.888616e+002	3.516235e-001
2.888673e+002	3.554382e-001
2.888729e+002	3.594360e-001
2.888786e+002	3.641357e-001
2.888842e+002	3.696289e-001
2.888899e+002	3.733215e-001
2.888955e+002	3.774109e-001
2.889012e+002	3.814697e-001
2.889068e+002	3.869019e-001
2.889125e+002	3.916931e-001
2.889182e+002	3.959351e-001
2.889238e+002	4.007874e-001
2.889295e+002	4.037476e-001
2.889352e+002	4.096680e-001
2.889408e+002	4.133301e-001
2.889465e+002	4.180298e-001
2.889521e+002	4.232178e-001
2.889578e+002	4.271240e-001
2.889634e+002	4.322815e-001
2.889691e+002	4.367981e-001
2.889748e+002	4.407349e-001
2.889804e+002	4.457092e-001
2.889861e+002	4.494324e-001
2.889918e+002	4.541321e-001
2.889974e+002	4.579163e-001
2.890031e+002	4.620972e-001
2.890087e+002	4.674072e-001
2.890144e+002	4.701843e-001
2.890200e+002	4.742737e-001
2.890257e+002	4.777222e-001
2.890313e+002	4.813232e-001
2.890370e+002	4.866638e-001
2.890427e+002	4.896240e-001
2.890483e+002	4.925842e-001
2.890540e+002	4.959106e-001
2.890597e+002	4.990540e-001
2.890653e+002	5.024719e-001
2.890710e+002	5.050354e-001
2.890766e+002	5.075989e-001
2.890823e+002	5.108643e-001
2.890879e+002	5.129700e-001
2.890936e+002	5.151978e-001
2.890992e+002	5.175781e-001
2.891049e+002	5.200500e-001
2.891106e+002	5.203247e-001
2.891162e+002	5.231628e-001
2.891219e+002	5.248108e-001
2.891276e+002	5.252991e-001
2.891332e+002	5.269165e-001
2.891389e+002	5.283813e-001
2.891445e+002	5.293579e-001
2.891502e+002	5.295105e-001
2.891558e+002	5.308533e-001
2.891615e+002	5.316162e-001
2.891672e+002	5.313416e-001
2.891728e+002	5.317688e-001
2.891785e+002	5.307617e-001
2.891842e+002	5.304565e-001
2.891898e+002	5.303040e-001
2.891955e+002	5.297852e-001
2.892011e+002	5.284424e-001
2.892068e+002	5.272827e-001
2.892124e+002	5.270996e-001
2.892181e+002	5.257263e-001
2.892238e+002	5.242310e-001
2.892294e+002	5.226440e-001
2.892351e+002	5.213928e-001
2.892407e+002	5.195923e-001
2.892464e+002	5.176697e-001
2.892521e+002	5.149536e-001
2.892577e+002	5.136719e-001
2.892634e+002	5.112610e-001
2.892690e+002	5.094299e-001
2.892747e+002	5.067139e-001
2.892803e+002	5.046387e-001
2.892860e+002	5.017700e-001
2.892917e+002	4.997864e-001
2.892973e+002	4.964294e-001
2.893030e+002	4.947815e-001
2.893086e+002	4.924316e-001
2.893143e+002	4.889832e-001
