    kHz         	 V
2.887569e+002	2.459717e-001
2.887625e+002	2.491150e-001
2.887682e+002	2.533264e-001
2.887738e+002	2.571716e-001
2.887795e+002	2.600708e-001
2.887852e+002	2.636108e-001
2.887908e+002	2.678528e-001
2.887965e+002	2.705994e-001
2.888022e+002	2.742920e-001
2.888078e+002	2.781677e-001
2.888135e+002	2.827454e-001
2.888191e+002	2.863159e-001
2.888248e+002	2.897644e-001
2.888304e+002	2.945862e-001
2.888361e+002	2.985535e-001
2.888417e+002	3.023987e-001
2.888474e+002	3.061829e-001
2.888531e+002	3.101501e-001
2.888587e+002	3.151550e-001
2.888644e+002	3.188782e-001
2.888701e+002	3.232727e-001
2.888757e+002	3.281860e-001
2.888814e+002	3.311157e-001
2.888870e+002	3.359375e-001
2.888927e+002	3.408203e-001
2.888983e+002	3.448792e-001
2.889040e+002	3.498840e-001
2.889097e+002	3.529358e-001
2.889153e+002	3.577881e-001
2.889210e+002	3.623352e-001
2.889267e+002	3.673706e-001
2.889323e+002	3.712158e-001
2.889380e+002	3.760376e-001
2.889436e+002	3.806763e-001
2.889493e+002	3.848572e-001
2.889549e+002	3.895874e-001
2.889606e+002	3.931580e-001
2.889663e+002	3.981018e-001
2.889719e+002	4.028320e-001
2.889776e+002	4.073181e-001
2.889832e+002	4.113770e-001
2.889889e+002	4.163818e-001
2.889946e+002	4.197083e-001
2.890002e+002	4.243469e-001
2.890059e+002	4.282532e-001
2.890115e+002	4.318542e-001
2.890172e+002	4.364929e-001
2.890228e+002	4.404602e-001
2.890285e+002	4.440918e-001
2.890342e+002	4.473877e-001
2.890398e+002	4.514160e-001
2.890455e+002	4.545898e-001
2.890511e+002	4.582825e-001
2.890568e+002	4.613647e-001
2.890624e+002	4.644165e-001
2.890681e+002	4.674377e-001
2.890738e+002	4.705505e-001
2.890794e+002	4.736938e-001
2.890851e+002	4.767151e-001
2.890908e+002	4.785156e-001
2.890964e+002	4.808044e-001
2.891021e+002	4.826355e-001
2.891077e+002	4.854431e-001
2.891134e+002	4.873657e-001
2.891190e+002	4.885864e-001
2.891247e+002	4.914246e-001
2.891303e+002	4.928589e-001
2.891360e+002	4.939880e-001
2.891417e+002	4.953003e-001
2.891473e+002	4.958801e-001
2.891530e+002	4.982300e-001
2.891587e+002	4.973145e-001
2.891643e+002	4.997559e-001
2.891700e+002	4.995117e-001
2.891756e+002	4.996643e-001
2.891813e+002	5.006714e-001
2.891869e+002	4.998474e-001
2.891926e+002	5.000000e-001
2.891983e+002	5.009155e-001
2.892039e+002	4.993591e-001
2.892096e+002	4.994507e-001
2.892153e+002	4.989319e-001
2.892209e+002	4.984436e-001
2.892266e+002	4.975281e-001
2.892322e+002	4.964600e-001
2.892379e+002	4.957275e-001
2.892435e+002	4.945068e-001
2.892492e+002	4.926453e-001
2.892548e+002	4.910583e-001
2.892605e+002	4.906921e-001
2.892662e+002	4.880676e-001
2.892718e+002	4.871216e-001
2.892775e+002	4.853516e-001
2.892832e+002	4.835205e-001
2.892888e+002	4.817810e-001
2.892945e+002	4.793091e-001
2.893001e+002	4.773560e-001
2.893058e+002	4.760437e-001
2.893114e+002	4.739380e-001
2.893171e+002	4.716797e-001
2.893227e+002	4.698486e-001
2.893284e+002	4.670715e-001
2.893341e+002	4.649658e-001
2.893397e+002	4.627380e-001
2.893454e+002	4.598694e-001
2.893511e+002	4.581604e-001
2.893567e+002	4.556885e-001
2.893624e+002	4.536438e-001
2.893680e+002	4.505005e-001
2.893737e+002	4.477234e-001
2.893793e+002	4.464417e-001
2.893850e+002	4.433899e-001
2.893907e+002	4.412537e-001
2.893963e+002	4.385986e-001
2.894020e+002	4.358521e-001
2.894076e+002	4.332275e-001
2.894133e+002	4.306335e-001
2.894190e+002	4.275513e-001
2.894246e+002	4.252014e-001
2.894303e+002	4.228516e-001
2.894359e+002	4.200134e-001
2.894416e+002	4.188538e-001
2.894473e+002	4.152222e-001
2.894529e+002	4.130554e-001
2.894586e+002	4.113464e-001
2.894642e+002	4.079590e-001
2.894699e+002	4.056702e-001
2.894755e+002	4.038696e-001
2.894812e+002	4.004211e-001
2.894869e+002	3.987427e-001
2.894925e+002	3.961792e-001
2.894982e+002	3.935852e-001
2.895038e+002	3.906860e-001
2.895095e+002	3.889160e-001
2.895152e+002	3.861389e-001
2.895208e+002	3.840637e-001
2.895265e+002	3.812256e-001
2.895321e+002	3.804626e-001
2.895378e+002	3.774719e-001
2.895434e+002	3.749695e-001
2.895491e+002	3.729248e-001
2.895548e+002	3.711548e-001
2.895604e+002	3.677063e-001
2.895661e+002	3.665161e-001
2.895718e+002	3.644104e-001
2.895774e+002	3.617859e-001
2.895831e+002	3.597107e-001
2.895887e+002	3.580933e-001
2.895944e+002	3.560181e-001
2.896000e+002	3.541260e-001
2.896057e+002	3.506775e-001
2.896113e+002	3.498230e-001
2.896170e+002	3.484192e-001
2.896227e+002	3.459778e-001
2.896283e+002	3.441467e-001
2.896340e+002	3.421021e-001
2.896397e+002	3.409729e-001
2.896453e+002	3.390503e-001
2.896510e+002	3.376465e-001
2.896566e+002	3.358154e-001
2.896623e+002	3.333130e-001
2.896679e+002	3.311768e-001
2.896736e+002	3.294983e-001
2.896793e+002	3.289185e-001
2.896849e+002	3.269958e-001
2.896906e+002	3.252869e-001
2.896963e+002	3.237000e-001
2.897019e+002	3.225708e-001
2.897076e+002	3.221741e-001
2.897132e+002	3.199463e-001
2.897189e+002	3.178711e-001
2.897245e+002	3.161621e-001
2.897302e+002	3.165283e-001
2.897358e+002	3.139648e-001
2.897415e+002	3.133545e-001
2.897472e+002	3.119812e-001
2.897528e+002	3.105164e-001
2.897585e+002	3.092346e-001
2.897642e+002	3.081665e-001
2.897698e+002	3.055420e-001
2.897755e+002	3.057556e-001
2.897811e+002	3.036194e-001
2.897868e+002	3.030396e-001
2.897924e+002	3.023987e-001
2.897981e+002	3.011475e-001
2.898037e+002	2.997742e-001
2.898094e+002	2.987061e-001
2.898151e+002	2.969971e-001
2.898207e+002	2.970581e-001
2.898264e+002	2.949219e-001
2.898320e+002	2.939453e-001
2.898377e+002	2.931519e-001
2.898434e+002	2.927551e-001
2.898490e+002	2.911987e-001
2.898547e+002	2.908630e-001
2.898603e+002	2.898560e-001
2.898660e+002	2.892151e-001
2.898717e+002	2.883301e-001
2.898773e+002	2.863770e-001
2.898830e+002	2.859497e-001
2.898886e+002	2.851868e-001
2.898943e+002	2.844543e-001
2.898999e+002	2.840271e-001
2.899056e+002	2.825012e-001
2.899113e+002	2.817078e-001
2.899169e+002	2.819519e-001
2.899226e+002	2.797546e-001
2.899282e+002	2.796936e-001
2.899339e+002	2.790833e-001
2.899396e+002	2.773438e-001
2.899452e+002	2.770996e-001
2.899509e+002	2.763367e-001
2.899565e+002	2.756042e-001
2.899622e+002	2.746277e-001
2.899678e+002	2.738037e-001
2.899735e+002	2.730103e-001
2.899792e+002	2.720337e-001
2.899848e+002	2.716675e-001
2.899905e+002	2.715454e-001
2.899962e+002	2.707520e-001
2.900018e+002	2.694092e-001
2.900075e+002	2.695007e-001
2.900131e+002	2.688599e-001
2.900188e+002	2.683716e-001
