    µm         	nm
0.000000e+000	5.065200e+001
1.956947e-002	5.049120e+001
3.913894e-002	4.958000e+001
5.870842e-002	4.909760e+001
7.827789e-002	4.947280e+001
9.784736e-002	5.124160e+001
1.174168e-001	5.220640e+001
1.369863e-001	5.011600e+001
1.565558e-001	5.086640e+001
1.761252e-001	5.242080e+001
1.956947e-001	5.000880e+001
2.152642e-001	4.888320e+001
2.348337e-001	4.877600e+001
2.544031e-001	4.915120e+001
2.739726e-001	4.915120e+001
2.935421e-001	4.829360e+001
3.131115e-001	4.931200e+001
3.326810e-001	4.893680e+001
3.522505e-001	4.899040e+001
3.718200e-001	5.097360e+001
3.913894e-001	5.134880e+001
4.109589e-001	5.033040e+001
4.305284e-001	5.011600e+001
4.500978e-001	4.845440e+001
4.696673e-001	4.802560e+001
4.892368e-001	4.727520e+001
5.088062e-001	4.464880e+001
5.283757e-001	4.137920e+001
5.479452e-001	2.546000e+001
5.675147e-001	-1.072000e-001
5.870841e-001	-2.192240e+001
6.066536e-001	-3.532240e+001
6.262231e-001	-4.330880e+001
6.457926e-001	-5.536880e+001
6.653621e-001	-5.049120e+001
6.849315e-001	-5.654800e+001
7.045010e-001	-5.343920e+001
7.240704e-001	-5.499360e+001
7.436399e-001	-5.740560e+001
7.632094e-001	-5.644080e+001
7.827788e-001	-5.638720e+001
8.023483e-001	-5.703040e+001
8.219178e-001	-5.606560e+001
8.414873e-001	-5.445760e+001
8.610567e-001	-5.617280e+001
8.806262e-001	-5.617280e+001
9.001957e-001	-5.483280e+001
9.197652e-001	-5.569040e+001
9.393347e-001	-5.692320e+001
9.589041e-001	-5.569040e+001
9.784736e-001	-5.274240e+001
9.980430e-001	-5.370720e+001
1.017612e+000	-5.392160e+001
1.037182e+000	-5.536880e+001
1.056751e+000	-5.558320e+001
1.076321e+000	-5.563680e+001
1.095890e+000	-5.697680e+001
1.115460e+000	-5.778080e+001
1.135029e+000	-5.536880e+001
1.154599e+000	-5.772720e+001
1.174168e+000	-5.874560e+001
1.193738e+000	-5.595840e+001
1.213307e+000	-5.713760e+001
1.232877e+000	-5.804880e+001
1.252446e+000	-5.756640e+001
1.272016e+000	-5.595840e+001
1.291585e+000	-5.735200e+001
1.311155e+000	-5.745920e+001
1.330724e+000	-5.644080e+001
1.350293e+000	-5.365360e+001
1.369863e+000	-5.456480e+001
1.389432e+000	-5.451120e+001
1.409002e+000	-5.408240e+001
1.428571e+000	-5.258160e+001
1.448141e+000	-5.574400e+001
1.467710e+000	-5.863840e+001
1.487280e+000	-5.751280e+001
1.506849e+000	-5.863840e+001
1.526419e+000	-5.065200e+001
1.545988e+000	-3.837760e+001
1.565558e+000	-2.369120e+001
1.585127e+000	-8.254400e+000
1.604697e+000	1.929600e+000
1.624266e+000	8.575999e+000
1.643836e+000	1.307840e+001
1.663405e+000	1.511520e+001
1.682975e+000	1.629440e+001
1.702544e+000	1.967120e+001
1.722113e+000	2.444160e+001
1.741683e+000	2.283360e+001
1.761252e+000	2.438800e+001
1.780822e+000	2.610320e+001
1.800391e+000	2.133280e+001
1.819961e+000	2.336960e+001
1.839530e+000	2.851520e+001
1.859100e+000	3.082000e+001
1.878669e+000	3.403600e+001
1.898239e+000	3.693040e+001
1.917808e+000	3.993200e+001
1.937378e+000	4.261200e+001
1.956947e+000	4.432720e+001
1.976517e+000	4.422000e+001
1.996086e+000	4.679280e+001
2.015656e+000	4.936560e+001
2.035225e+000	5.049120e+001
2.054795e+000	5.134880e+001
2.074364e+000	5.140240e+001
2.093934e+000	5.150960e+001
2.113503e+000	5.124160e+001
2.133072e+000	5.134880e+001
2.152642e+000	5.274240e+001
2.172211e+000	5.327840e+001
2.191781e+000	5.059840e+001
2.211350e+000	4.738240e+001
2.230920e+000	4.427360e+001
2.250489e+000	4.668560e+001
2.270059e+000	4.652480e+001
2.289628e+000	4.593520e+001
2.309198e+000	4.470240e+001
2.328767e+000	4.706080e+001
2.348336e+000	4.748960e+001
2.367906e+000	4.438080e+001
2.387475e+000	4.577440e+001
2.407045e+000	4.743600e+001
2.426614e+000	4.507760e+001
2.446184e+000	4.389840e+001
2.465753e+000	4.416640e+001
2.485323e+000	4.464880e+001
2.504892e+000	4.427360e+001
2.524462e+000	4.432720e+001
2.544031e+000	4.556000e+001
2.563601e+000	4.684640e+001
2.583170e+000	4.229040e+001
2.602740e+000	4.137920e+001
2.622309e+000	4.448800e+001
2.641879e+000	4.781120e+001
2.661448e+000	4.550640e+001
2.681018e+000	4.941920e+001
2.700587e+000	4.979440e+001
2.720157e+000	4.652480e+001
2.739726e+000	5.236720e+001
2.759296e+000	4.389840e+001
2.778865e+000	4.561360e+001
2.798434e+000	4.722160e+001
2.818004e+000	4.480960e+001
2.837573e+000	4.850800e+001
2.857143e+000	5.242080e+001
2.876712e+000	4.931200e+001
2.896282e+000	5.413600e+001
2.915851e+000	5.145600e+001
2.935421e+000	4.829360e+001
2.954990e+000	4.497040e+001
2.974560e+000	4.078960e+001
2.994129e+000	4.100400e+001
3.013699e+000	4.202240e+001
3.033268e+000	4.405920e+001
3.052837e+000	4.507760e+001
3.072407e+000	4.416640e+001
3.091976e+000	4.325520e+001
3.111546e+000	4.384480e+001
3.131115e+000	4.298720e+001
3.150685e+000	4.271920e+001
3.170254e+000	4.223680e+001
3.189824e+000	4.191520e+001
3.209393e+000	4.116480e+001
3.228963e+000	4.036080e+001
3.248532e+000	3.971760e+001
3.268102e+000	4.089680e+001
3.287671e+000	4.363040e+001
3.307241e+000	4.164720e+001
3.326810e+000	4.062880e+001
3.346380e+000	3.993200e+001
3.365949e+000	4.030720e+001
3.385519e+000	4.062880e+001
3.405088e+000	3.714480e+001
3.424658e+000	3.741280e+001
3.444227e+000	3.569760e+001
3.463796e+000	3.559040e+001
3.483366e+000	3.768080e+001
3.502935e+000	2.792560e+001
3.522505e+000	2.047520e+001
3.542074e+000	1.565120e+001
3.561644e+000	9.433600e+000
3.581213e+000	1.232800e+000
3.600783e+000	-5.252800e+000
3.620352e+000	-1.125600e+001
