    µm         	nm
0.000000e+000	4.250480e+001
1.956947e-002	4.234400e+001
3.913894e-002	4.218320e+001
5.870842e-002	4.288000e+001
7.827789e-002	4.277280e+001
9.784736e-002	4.218320e+001
1.174168e-001	4.180800e+001
1.369863e-001	4.218320e+001
1.565558e-001	4.196880e+001
1.761252e-001	4.196880e+001
1.956947e-001	4.309440e+001
2.152642e-001	4.336240e+001
2.348337e-001	4.346960e+001
2.544031e-001	4.320160e+001
2.739726e-001	4.191520e+001
2.935421e-001	4.127200e+001
3.131115e-001	4.218320e+001
3.326810e-001	4.405920e+001
3.522505e-001	4.395200e+001
3.718200e-001	4.309440e+001
3.913894e-001	4.282640e+001
4.109589e-001	4.261200e+001
4.305284e-001	4.234400e+001
4.500978e-001	4.100400e+001
4.696673e-001	4.105760e+001
4.892368e-001	4.143280e+001
5.088062e-001	4.196880e+001
5.283757e-001	4.191520e+001
5.479452e-001	4.095040e+001
5.675147e-001	3.966400e+001
5.870841e-001	3.961040e+001
6.066536e-001	3.934240e+001
6.262231e-001	3.939600e+001
6.457926e-001	3.966400e+001
6.653621e-001	3.971760e+001
6.849315e-001	3.939600e+001
7.045010e-001	3.752000e+001
7.240704e-001	3.467920e+001
7.436399e-001	3.082000e+001
7.632094e-001	2.690720e+001
7.827788e-001	2.481680e+001
8.023483e-001	2.379840e+001
8.219178e-001	2.331600e+001
8.414873e-001	2.315520e+001
8.610567e-001	2.315520e+001
8.806262e-001	2.111840e+001
9.001957e-001	1.859920e+001
9.197652e-001	1.554400e+001
9.393347e-001	1.152400e+001
9.589041e-001	7.289600e+000
9.784736e-001	3.162400e+000
9.980430e-001	-1.072000e+000
1.017612e+000	-5.145600e+000
1.037182e+000	-9.326399e+000
1.056751e+000	-1.340000e+001
1.076321e+000	-1.752720e+001
1.095890e+000	-2.165440e+001
1.115460e+000	-2.572800e+001
1.135029e+000	-2.974800e+001
1.154599e+000	-3.371440e+001
1.174168e+000	-3.773440e+001
1.193738e+000	-4.164720e+001
1.213307e+000	-4.556000e+001
1.232877e+000	-4.941920e+001
1.252446e+000	-5.322480e+001
1.272016e+000	-5.686960e+001
1.291585e+000	-6.035360e+001
1.311155e+000	-6.346239e+001
1.330724e+000	-6.501680e+001
1.350293e+000	-6.517759e+001
1.369863e+000	-6.512400e+001
1.389432e+000	-6.507040e+001
1.409002e+000	-6.523120e+001
1.428571e+000	-6.571360e+001
1.448141e+000	-6.432000e+001
1.467710e+000	-6.030000e+001
1.487280e+000	-5.713760e+001
1.506849e+000	-5.574400e+001
1.526419e+000	-5.365360e+001
1.545988e+000	-5.177760e+001
1.565558e+000	-5.092000e+001
1.585127e+000	-5.000880e+001
1.604697e+000	-4.915120e+001
1.624266e+000	-4.893680e+001
1.643836e+000	-4.877600e+001
1.663405e+000	-4.882960e+001
1.682975e+000	-4.888320e+001
1.702544e+000	-5.022320e+001
1.722113e+000	-5.108080e+001
1.741683e+000	-4.239760e+001
1.761252e+000	-2.953360e+001
1.780822e+000	-1.565120e+001
1.800391e+000	-4.609600e+000
1.819961e+000	4.020000e+000
1.839530e+000	9.219200e+000
1.859100e+000	1.050560e+001
1.878669e+000	1.163120e+001
1.898239e+000	1.457920e+001
1.917808e+000	1.833120e+001
1.937378e+000	1.897440e+001
1.956947e+000	1.608000e+001
1.976517e+000	1.409680e+001
1.996086e+000	1.795600e+001
2.015656e+000	2.353040e+001
2.035225e+000	2.669280e+001
2.054795e+000	2.663920e+001
2.074364e+000	2.830080e+001
2.093934e+000	3.221360e+001
2.113503e+000	3.516160e+001
2.133072e+000	3.666240e+001
2.152642e+000	3.875280e+001
2.172211e+000	3.987840e+001
2.191781e+000	3.928880e+001
2.211350e+000	3.944960e+001
2.230920e+000	4.041440e+001
2.250489e+000	4.121840e+001
2.270059e+000	4.127200e+001
2.289628e+000	4.111120e+001
2.309198e+000	4.143280e+001
2.328767e+000	4.068240e+001
2.348336e+000	4.014640e+001
2.367906e+000	3.912800e+001
2.387475e+000	3.698400e+001
2.407045e+000	3.414320e+001
2.426614e+000	3.505440e+001
2.446184e+000	3.907440e+001
2.465753e+000	4.170080e+001
2.485323e+000	4.175440e+001
2.504892e+000	4.191520e+001
2.524462e+000	4.314800e+001
2.544031e+000	4.405920e+001
2.563601e+000	4.443440e+001
2.583170e+000	4.443440e+001
2.602740e+000	4.443440e+001
2.622309e+000	4.384480e+001
2.641879e+000	4.325520e+001
2.661448e+000	4.212960e+001
2.681018e+000	3.939600e+001
2.700587e+000	3.553680e+001
2.720157e+000	3.274960e+001
2.739726e+000	3.210640e+001
2.759296e+000	3.103440e+001
2.778865e+000	3.130240e+001
2.798434e+000	3.312480e+001
2.818004e+000	3.500080e+001
2.837573e+000	3.650160e+001
2.857143e+000	3.832400e+001
2.876712e+000	4.116480e+001
2.896282e+000	4.400560e+001
2.915851e+000	4.518480e+001
2.935421e+000	4.486320e+001
2.954990e+000	4.373760e+001
2.974560e+000	4.170080e+001
2.994129e+000	4.148640e+001
3.013699e+000	4.293360e+001
3.033268e+000	4.459520e+001
3.052837e+000	4.577440e+001
3.072407e+000	4.668560e+001
3.091976e+000	4.716800e+001
3.111546e+000	4.738240e+001
3.131115e+000	4.700720e+001
3.150685e+000	4.647120e+001
3.170254e+000	4.604240e+001
3.189824e+000	4.556000e+001
3.209393e+000	4.459520e+001
3.228963e+000	4.363040e+001
3.248532e+000	4.239760e+001
3.268102e+000	4.111120e+001
3.287671e+000	3.961040e+001
3.307241e+000	3.800240e+001
3.326810e+000	3.618000e+001
3.346380e+000	3.601920e+001
3.365949e+000	3.693040e+001
3.385519e+000	3.752000e+001
3.405088e+000	3.805600e+001
3.424658e+000	3.810960e+001
3.444227e+000	3.773440e+001
3.463796e+000	3.709120e+001
3.483366e+000	3.730560e+001
3.502935e+000	3.789520e+001
3.522505e+000	3.735920e+001
3.542074e+000	3.575120e+001
3.561644e+000	3.312480e+001
3.581213e+000	3.189200e+001
3.600783e+000	2.996240e+001
3.620352e+000	2.637120e+001
3.639922e+000	2.224400e+001
3.659491e+000	1.795600e+001
3.679061e+000	1.377520e+001
3.698630e+000	9.540799e+000
3.718200e+000	5.306400e+000
3.737769e+000	1.072000e+000
3.757339e+000	-3.108800e+000
3.776908e+000	-7.343200e+000
3.796477e+000	-1.152400e+001
3.816047e+000	-1.570480e+001
3.835617e+000	-1.983200e+001
3.855186e+000	-2.406640e+001
3.874755e+000	-2.814000e+001
3.894325e+000	-3.226720e+001
3.913894e+000	-3.639440e+001
3.933464e+000	-4.046800e+001
3.953033e+000	-4.459520e+001
3.972603e+000	-4.856160e+001
3.992172e+000	-5.258160e+001
4.011742e+000	-5.649440e+001
4.031311e+000	-6.035360e+001
4.050881e+000	-6.405200e+001
4.070450e+000	-6.769680e+001
4.090020e+000	-7.102000e+001
4.109589e+000	-7.337839e+001
4.129158e+000	-7.353920e+001
4.148728e+000	-7.321760e+001
4.168297e+000	-7.289599e+001
4.187867e+000	-7.257439e+001
4.207436e+000	-7.209200e+001
4.227006e+000	-7.150240e+001
4.246575e+000	-7.160960e+001
4.266145e+000	-7.059120e+001
4.285714e+000	-6.850080e+001
4.305284e+000	-6.657120e+001
4.324853e+000	-6.608879e+001
4.344422e+000	-6.662480e+001
4.363992e+000	-6.689280e+001
4.383562e+000	-6.834000e+001
4.403131e+000	-7.080560e+001
4.422700e+000	-7.252080e+001
4.442270e+000	-7.289599e+001
4.461840e+000	-7.257439e+001
4.481409e+000	-7.198479e+001
4.500978e+000	-7.123440e+001
4.520548e+000	-7.118080e+001
4.540118e+000	-7.112720e+001
4.559687e+000	-7.182400e+001
4.579256e+000	-7.348559e+001
4.598826e+000	-7.380719e+001
4.618395e+000	-7.343200e+001
4.637965e+000	-7.305680e+001
4.657534e+000	-7.166319e+001
4.677104e+000	-6.469520e+001
4.696673e+000	-5.392160e+001
4.716243e+000	-4.100400e+001
4.735812e+000	-2.894400e+001
4.755382e+000	-1.838480e+001
4.774951e+000	-9.433600e+000
4.794520e+000	-1.661600e+000
4.814090e+000	3.752000e-001
4.833659e+000	1.179200e+000
4.853229e+000	3.376800e+000
4.872798e+000	4.877600e+000
4.892368e+000	3.966400e+000
4.911937e+000	3.269600e+000
4.931507e+000	3.859200e+000
4.951076e+000	8.468800e+000
4.970646e+000	1.323920e+001
4.990215e+000	1.431120e+001
5.009785e+000	1.393600e+001
5.029354e+000	1.924240e+001
5.048923e+000	2.433440e+001
5.068493e+000	2.738960e+001
5.088063e+000	2.862240e+001
5.107632e+000	2.883680e+001
5.127201e+000	2.915840e+001
5.146771e+000	2.894400e+001
5.166341e+000	2.856880e+001
5.185910e+000	2.872960e+001
5.205479e+000	2.974800e+001
5.225049e+000	3.065920e+001
5.244618e+000	3.114160e+001
5.264188e+000	3.146320e+001
5.283757e+000	3.167760e+001
5.303327e+000	3.183840e+001
5.322896e+000	3.124880e+001
5.342466e+000	3.006960e+001
5.362035e+000	2.867600e+001
5.381605e+000	2.905120e+001
5.401174e+000	3.012320e+001
5.420743e+000	3.237440e+001
5.440313e+000	3.451840e+001
5.459883e+000	3.510800e+001
5.479452e+000	3.494720e+001
5.499021e+000	3.596560e+001
5.518591e+000	3.537600e+001
5.538161e+000	3.730560e+001
5.557730e+000	3.618000e+001
5.577299e+000	3.843120e+001
5.596869e+000	3.655520e+001
5.616438e+000	3.752000e+001
5.636008e+000	3.569760e+001
5.655577e+000	3.484000e+001
5.675147e+000	3.473280e+001
5.694716e+000	3.419680e+001
5.714286e+000	3.280320e+001
5.733855e+000	3.135600e+001
5.753424e+000	3.033760e+001
5.772994e+000	2.883680e+001
5.792564e+000	2.701440e+001
5.812133e+000	2.460240e+001
5.831702e+000	2.454880e+001
5.851272e+000	2.487040e+001
5.870842e+000	2.615680e+001
5.890411e+000	2.674640e+001
5.909980e+000	2.733600e+001
5.929550e+000	2.765760e+001
5.949119e+000	2.722880e+001
5.968689e+000	2.599600e+001
5.988258e+000	2.578160e+001
6.007828e+000	2.658560e+001
6.027397e+000	2.680000e+001
6.046967e+000	2.669280e+001
6.066536e+000	2.658560e+001
6.086106e+000	2.631760e+001
6.105675e+000	2.438800e+001
6.125244e+000	2.336960e+001
6.144814e+000	2.310160e+001
6.164384e+000	2.288720e+001
6.183953e+000	2.299440e+001
6.203522e+000	2.353040e+001
6.223092e+000	2.449520e+001
6.242662e+000	2.508480e+001
6.262231e+000	2.562080e+001
6.281800e+000	2.529920e+001
6.301370e+000	2.444160e+001
6.320939e+000	2.347680e+001
6.340509e+000	2.390560e+001
6.360078e+000	2.395920e+001
6.379648e+000	2.240480e+001
6.399217e+000	2.111840e+001
6.418787e+000	2.052880e+001
6.438356e+000	2.052880e+001
6.457925e+000	2.122560e+001
6.477495e+000	2.154720e+001
6.497065e+000	2.165440e+001
6.516634e+000	2.192240e+001
6.536203e+000	2.154720e+001
6.555773e+000	2.138640e+001
6.575342e+000	2.154720e+001
6.594912e+000	2.165440e+001
6.614481e+000	2.106480e+001
6.634051e+000	2.015360e+001
6.653620e+000	1.822400e+001
6.673190e+000	1.441840e+001
