    µm         	nm
0.000000e+000	1.142752e+002
1.956947e-002	1.114880e+002
3.913894e-002	1.100944e+002
5.870842e-002	1.074680e+002
7.827789e-002	1.042520e+002
9.784736e-002	1.005000e+002
1.174168e-001	9.589039e+001
1.369863e-001	9.599759e+001
1.565558e-001	9.556879e+001
1.761252e-001	9.519360e+001
1.956947e-001	9.503280e+001
2.152642e-001	9.353199e+001
2.348337e-001	9.187040e+001
2.544031e-001	8.913680e+001
2.739726e-001	8.833280e+001
2.935421e-001	8.876160e+001
3.131115e-001	8.902960e+001
3.326810e-001	8.902960e+001
3.522505e-001	8.742160e+001
3.718200e-001	8.597440e+001
3.913894e-001	8.592080e+001
4.109589e-001	8.597440e+001
4.305284e-001	8.565279e+001
4.500978e-001	8.527760e+001
4.696673e-001	8.586720e+001
4.892368e-001	8.554559e+001
5.088062e-001	8.249039e+001
5.283757e-001	8.029279e+001
5.479452e-001	7.777360e+001
5.675147e-001	7.584400e+001
5.870841e-001	7.294960e+001
6.066536e-001	7.091280e+001
6.262231e-001	6.624960e+001
6.457926e-001	6.040720e+001
6.653621e-001	5.317120e+001
6.849315e-001	4.577440e+001
7.045010e-001	3.832400e+001
7.240704e-001	3.103440e+001
7.436399e-001	2.369120e+001
7.632094e-001	1.634800e+001
7.827788e-001	9.165600e+000
8.023483e-001	2.144000e+000
8.219178e-001	-4.931200e+000
8.414873e-001	-1.179200e+001
8.610567e-001	-1.849200e+001
8.806262e-001	-2.519200e+001
9.001957e-001	-3.178480e+001
9.197652e-001	-3.784160e+001
9.393347e-001	-4.395200e+001
9.589041e-001	-4.984800e+001
9.784736e-001	-5.531520e+001
9.980430e-001	-5.944240e+001
1.017612e+000	-5.906720e+001
1.037182e+000	-5.622640e+001
1.056751e+000	-5.397520e+001
1.076321e+000	-5.279600e+001
1.095890e+000	-5.118800e+001
1.115460e+000	-4.840080e+001
1.135029e+000	-4.529200e+001
1.154599e+000	-4.325520e+001
1.174168e+000	-4.116480e+001
1.193738e+000	-4.116480e+001
1.213307e+000	-4.186160e+001
1.232877e+000	-4.293360e+001
1.252446e+000	-4.400560e+001
1.272016e+000	-4.507760e+001
1.291585e+000	-4.743600e+001
1.311155e+000	-5.220640e+001
1.330724e+000	-5.751280e+001
1.350293e+000	-6.281920e+001
1.369863e+000	-6.737520e+001
1.389432e+000	-7.080560e+001
1.409002e+000	-7.209200e+001
1.428571e+000	-7.166319e+001
1.448141e+000	-7.134160e+001
1.467710e+000	-7.128800e+001
1.487280e+000	-7.139520e+001
1.506849e+000	-7.123440e+001
1.526419e+000	-7.091280e+001
1.545988e+000	-6.844720e+001
1.565558e+000	-6.785760e+001
1.585127e+000	-6.785760e+001
1.604697e+000	-6.764320e+001
1.624266e+000	-6.748240e+001
1.643836e+000	-6.758960e+001
1.663405e+000	-6.469520e+001
1.682975e+000	-5.311760e+001
1.702544e+000	-4.078960e+001
1.722113e+000	-2.803280e+001
1.741683e+000	-1.474000e+001
1.761252e+000	-2.519200e+000
1.780822e+000	4.663200e+000
1.800391e+000	7.236000e+000
1.819961e+000	7.182400e+000
1.839530e+000	1.109520e+001
1.859100e+000	1.500800e+001
1.878669e+000	1.666960e+001
1.898239e+000	1.725920e+001
1.917808e+000	1.479360e+001
1.937378e+000	1.189920e+001
1.956947e+000	1.817040e+001
1.976517e+000	1.993920e+001
1.996086e+000	1.876000e+001
2.015656e+000	2.278000e+001
2.035225e+000	2.771120e+001
2.054795e+000	2.990880e+001
2.074364e+000	3.178480e+001
2.093934e+000	3.462560e+001
2.113503e+000	3.500080e+001
2.133072e+000	3.441120e+001
2.152642e+000	3.484000e+001
2.172211e+000	3.548320e+001
2.191781e+000	3.607280e+001
2.211350e+000	3.607280e+001
2.230920e+000	3.634080e+001
2.250489e+000	3.650160e+001
2.270059e+000	3.387520e+001
2.289628e+000	3.274960e+001
2.309198e+000	3.291040e+001
2.328767e+000	3.291040e+001
2.348336e+000	3.312480e+001
2.367906e+000	3.173120e+001
2.387475e+000	3.183840e+001
2.407045e+000	3.199920e+001
2.426614e+000	3.178480e+001
2.446184e+000	3.114160e+001
2.465753e+000	2.980160e+001
2.485323e+000	2.996240e+001
2.504892e+000	2.953360e+001
2.524462e+000	2.996240e+001
2.544031e+000	3.023040e+001
2.563601e+000	3.001600e+001
2.583170e+000	2.931920e+001
2.602740e+000	2.948000e+001
2.622309e+000	2.980160e+001
2.641879e+000	3.071280e+001
2.661448e+000	3.140960e+001
2.681018e+000	3.151680e+001
2.700587e+000	3.140960e+001
2.720157e+000	3.006960e+001
2.739726e+000	2.840800e+001
2.759296e+000	2.814000e+001
2.778865e+000	2.792560e+001
2.798434e+000	2.722880e+001
2.818004e+000	2.749680e+001
2.837573e+000	2.760400e+001
2.857143e+000	2.862240e+001
2.876712e+000	2.964080e+001
2.896282e+000	2.985520e+001
2.915851e+000	2.969440e+001
2.935421e+000	2.926560e+001
2.954990e+000	3.049840e+001
2.974560e+000	3.114160e+001
2.994129e+000	3.183840e+001
3.013699e+000	3.226720e+001
3.033268e+000	3.221360e+001
3.052837e+000	3.430400e+001
3.072407e+000	3.548320e+001
3.091976e+000	3.484000e+001
3.111546e+000	3.542960e+001
3.131115e+000	3.655520e+001
3.150685e+000	3.730560e+001
3.170254e+000	3.789520e+001
3.189824e+000	3.816320e+001
3.209393e+000	3.800240e+001
3.228963e+000	3.741280e+001
3.248532e+000	3.725200e+001
3.268102e+000	3.580480e+001
3.287671e+000	3.285680e+001
3.307241e+000	3.258880e+001
3.326810e+000	3.274960e+001
3.346380e+000	3.296400e+001
3.365949e+000	3.253520e+001
3.385519e+000	3.210640e+001
3.405088e+000	3.274960e+001
3.424658e+000	3.248160e+001
3.444227e+000	3.044480e+001
3.463796e+000	3.039120e+001
3.483366e+000	2.926560e+001
3.502935e+000	2.964080e+001
3.522505e+000	2.964080e+001
3.542074e+000	2.921200e+001
3.561644e+000	2.990880e+001
3.581213e+000	2.894400e+001
3.600783e+000	2.738960e+001
3.620352e+000	2.578160e+001
3.639922e+000	2.267280e+001
3.659491e+000	1.806320e+001
3.679061e+000	1.147040e+001
3.698630e+000	4.395200e+000
3.718200e+000	-2.733600e+000
3.737769e+000	-9.916000e+000
3.757339e+000	-1.704480e+001
3.776908e+000	-2.401280e+001
3.796477e+000	-3.076640e+001
3.816047e+000	-3.752000e+001
3.835617e+000	-4.416640e+001
3.855186e+000	-5.054480e+001
3.874755e+000	-5.665520e+001
3.894325e+000	-6.196160e+001
3.913894e+000	-6.217600e+001
3.933464e+000	-6.099680e+001
3.953033e+000	-6.008560e+001
3.972603e+000	-5.992479e+001
3.992172e+000	-6.040720e+001
4.011742e+000	-6.088960e+001
4.031311e+000	-6.142560e+001
4.050881e+000	-6.115760e+001
4.070450e+000	-6.083599e+001
4.090020e+000	-6.281920e+001
4.109589e+000	-6.619599e+001
4.129158e+000	-6.968000e+001
4.148728e+000	-7.273520e+001
4.168297e+000	-7.536160e+001
4.187867e+000	-7.305680e+001
4.207436e+000	-7.412880e+001
4.227006e+000	-7.455760e+001
4.246575e+000	-7.332480e+001
4.266145e+000	-7.536160e+001
4.285714e+000	-7.573680e+001
4.305284e+000	-7.536160e+001
4.324853e+000	-7.520079e+001
4.344422e+000	-7.214560e+001
4.363992e+000	-6.989440e+001
4.383562e+000	-6.705360e+001
4.403131e+000	-6.544560e+001
4.422700e+000	-6.517759e+001
4.442270e+000	-6.614240e+001
4.461840e+000	-6.641039e+001
4.481409e+000	-6.775040e+001
4.500978e+000	-6.978720e+001
4.520548e+000	-7.321760e+001
4.540118e+000	-7.589760e+001
4.559687e+000	-7.686240e+001
4.579256e+000	-7.643359e+001
4.598826e+000	-7.595120e+001
4.618395e+000	-6.844720e+001
4.637965e+000	-5.772720e+001
4.657534e+000	-4.824000e+001
4.677104e+000	-3.875280e+001
4.696673e+000	-3.044480e+001
4.716243e+000	-2.320880e+001
4.735812e+000	-2.117200e+001
4.755382e+000	-2.079680e+001
4.774951e+000	-1.742000e+001
4.794520e+000	-1.527600e+001
4.814090e+000	-1.554400e+001
4.833659e+000	-1.618720e+001
4.853229e+000	-1.420400e+001
4.872798e+000	-9.326399e+000
4.892368e+000	-3.591200e+000
