    nm         	mV
3.427860e+001	1.603125e+001
3.417081e+001	1.646875e+001
3.406301e+001	1.687500e+001
3.395522e+001	1.725000e+001
3.384743e+001	1.762500e+001
3.373964e+001	1.800000e+001
3.363184e+001	1.843750e+001
3.352405e+001	1.893750e+001
3.341626e+001	1.940625e+001
3.330846e+001	1.981250e+001
3.320067e+001	2.021875e+001
3.309288e+001	2.056250e+001
3.298508e+001	2.087500e+001
3.287729e+001	2.115625e+001
3.276950e+001	2.140625e+001
3.266171e+001	2.159375e+001
3.255391e+001	2.178125e+001
3.244612e+001	2.190625e+001
3.233833e+001	2.196875e+001
3.223053e+001	2.193750e+001
3.212274e+001	2.193750e+001
3.201495e+001	2.193750e+001
3.190716e+001	2.190625e+001
3.179936e+001	2.187500e+001
3.169157e+001	2.184375e+001
3.158378e+001	2.181250e+001
3.147598e+001	2.178125e+001
3.136819e+001	2.178125e+001
3.126040e+001	2.178125e+001
3.115261e+001	2.181250e+001
3.104481e+001	2.181250e+001
3.093702e+001	2.181250e+001
3.082923e+001	2.181250e+001
3.072143e+001	2.178125e+001
3.061364e+001	2.178125e+001
3.050585e+001	2.181250e+001
3.039806e+001	2.178125e+001
3.029026e+001	2.178125e+001
3.018247e+001	2.178125e+001
3.007468e+001	2.181250e+001
2.996688e+001	2.181250e+001
2.985909e+001	2.184375e+001
2.975130e+001	2.184375e+001
2.964350e+001	2.181250e+001
2.953571e+001	2.175000e+001
2.942791e+001	2.171875e+001
2.932012e+001	2.171875e+001
2.921232e+001	2.165625e+001
2.910453e+001	2.168750e+001
2.899673e+001	2.168750e+001
2.888894e+001	2.168750e+001
2.878114e+001	2.168750e+001
2.867335e+001	2.171875e+001
2.856556e+001	2.168750e+001
2.845776e+001	2.168750e+001
2.834997e+001	2.175000e+001
2.824217e+001	2.178125e+001
2.813438e+001	2.181250e+001
2.802658e+001	2.181250e+001
2.791879e+001	2.184375e+001
2.781099e+001	2.187500e+001
2.770320e+001	2.190625e+001
2.759540e+001	2.193750e+001
2.748761e+001	2.193750e+001
2.737981e+001	2.190625e+001
2.727202e+001	2.190625e+001
2.716422e+001	2.190625e+001
2.705643e+001	2.187500e+001
2.694864e+001	2.184375e+001
2.684084e+001	2.187500e+001
2.673305e+001	2.187500e+001
2.662525e+001	2.190625e+001
2.651746e+001	2.190625e+001
2.640966e+001	2.187500e+001
2.630187e+001	2.184375e+001
2.619407e+001	2.181250e+001
2.608628e+001	2.181250e+001
2.597848e+001	2.181250e+001
2.587069e+001	2.184375e+001
