    µm         	nm
3.855186e+000	-4.020000e+000
3.874755e+000	-6.217600e+000
3.894325e+000	-8.415199e+000
3.913894e+000	-1.055920e+001
3.933464e+000	-1.281040e+001
3.953033e+000	-1.495440e+001
3.972603e+000	-1.715200e+001
3.992172e+000	-1.929600e+001
4.011742e+000	-2.149360e+001
4.031311e+000	-2.363760e+001
4.050881e+000	-2.583520e+001
4.070450e+000	-2.792560e+001
4.090020e+000	-3.012320e+001
4.109589e+000	-3.221360e+001
4.129158e+000	-3.430400e+001
4.148728e+000	-3.650160e+001
4.168297e+000	-3.859200e+001
4.187867e+000	-4.073600e+001
4.207436e+000	-4.282640e+001
4.227006e+000	-4.497040e+001
4.246575e+000	-4.706080e+001
4.266145e+000	-4.920480e+001
4.285714e+000	-5.124160e+001
4.305284e+000	-5.333200e+001
4.324853e+000	-5.536880e+001
4.344422e+000	-5.745920e+001
4.363992e+000	-5.949600e+001
4.383562e+000	-6.147920e+001
4.403131e+000	-6.351600e+001
4.422700e+000	-6.544560e+001
4.442270e+000	-6.737520e+001
4.461840e+000	-6.828640e+001
4.481409e+000	-6.817920e+001
4.500978e+000	-6.737520e+001
4.520548e+000	-6.705360e+001
4.540118e+000	-6.817920e+001
4.559687e+000	-7.000160e+001
4.579256e+000	-7.187759e+001
4.598826e+000	-7.369999e+001
4.618395e+000	-7.525440e+001
4.637965e+000	-7.219920e+001
4.657534e+000	-6.453440e+001
4.677104e+000	-5.526160e+001
4.696673e+000	-4.582800e+001
4.716243e+000	-3.902080e+001
4.735812e+000	-3.446480e+001
4.755382e+000	-3.210640e+001
4.774951e+000	-3.028400e+001
4.794520e+000	-2.830080e+001
4.814090e+000	-2.610320e+001
4.833659e+000	-2.304800e+001
4.853229e+000	-1.902800e+001
4.872798e+000	-1.436480e+001
4.892368e+000	-8.468800e+000
4.911937e+000	-2.036800e+000
4.931507e+000	4.127200e+000
4.951076e+000	8.040000e+000
4.970646e+000	1.029120e+001
4.990215e+000	1.222080e+001
5.009785e+000	1.388240e+001
5.029354e+000	1.404320e+001
5.048923e+000	1.270320e+001
5.068493e+000	1.248880e+001
5.088063e+000	1.409680e+001
5.107632e+000	1.656240e+001
