    nm         	mV
3.351060e+001	-5.225000e+001
3.340353e+001	-5.509375e+001
3.329647e+001	-5.762500e+001
3.318941e+001	-5.978125e+001
3.308235e+001	-6.150000e+001
3.297529e+001	-6.284375e+001
3.286823e+001	-6.353125e+001
3.276117e+001	-6.384375e+001
3.265411e+001	-6.390625e+001
3.254705e+001	-6.368750e+001
3.243998e+001	-6.328125e+001
3.233292e+001	-6.231250e+001
3.222586e+001	-6.103125e+001
3.211880e+001	-5.962500e+001
3.201174e+001	-5.821875e+001
3.190468e+001	-5.693750e+001
3.179762e+001	-5.596875e+001
3.169056e+001	-5.506250e+001
3.158350e+001	-5.425000e+001
3.147644e+001	-5.359375e+001
3.136937e+001	-5.296875e+001
3.126231e+001	-5.234375e+001
3.115525e+001	-5.171875e+001
3.104819e+001	-5.125000e+001
3.094113e+001	-5.087500e+001
3.083407e+001	-5.053125e+001
3.072701e+001	-5.012500e+001
3.061995e+001	-4.971875e+001
3.051289e+001	-4.931250e+001
3.040583e+001	-4.890625e+001
3.029876e+001	-4.850000e+001
3.019170e+001	-4.803125e+001
3.008464e+001	-4.753125e+001
2.997758e+001	-4.700000e+001
2.987052e+001	-4.646875e+001
2.976346e+001	-4.593750e+001
2.965639e+001	-4.537500e+001
2.954933e+001	-4.481250e+001
2.944227e+001	-4.421875e+001
2.933521e+001	-4.359375e+001
2.922814e+001	-4.287500e+001
2.912108e+001	-4.200000e+001
2.901402e+001	-4.103125e+001
2.890696e+001	-4.006250e+001
2.879989e+001	-3.900000e+001
2.869283e+001	-3.778125e+001
2.858577e+001	-3.637500e+001
2.847870e+001	-3.481250e+001
2.837164e+001	-3.321875e+001
2.826458e+001	-3.156250e+001
2.815752e+001	-2.984375e+001
2.805045e+001	-2.812500e+001
2.794339e+001	-2.618750e+001
2.783633e+001	-2.431250e+001
2.772926e+001	-2.253125e+001
2.762220e+001	-2.068750e+001
2.751514e+001	-1.878125e+001
2.740808e+001	-1.693750e+001
2.730101e+001	-1.528125e+001
2.719395e+001	-1.368750e+001
2.708689e+001	-1.209375e+001
2.697982e+001	-1.050000e+001
2.687276e+001	-8.968750e+000
2.676570e+001	-7.468750e+000
2.665864e+001	-6.250000e+000
2.655157e+001	-5.125000e+000
2.644451e+001	-3.937500e+000
2.633745e+001	-2.781250e+000
2.623038e+001	-1.781250e+000
2.612332e+001	-8.750000e-001
2.601626e+001	6.250000e-002
2.590920e+001	9.375000e-001
2.580213e+001	1.781250e+000
2.569507e+001	2.593750e+000
2.558801e+001	3.406250e+000
2.548095e+001	4.218750e+000
2.537388e+001	5.000000e+000
2.526682e+001	5.781250e+000
2.515976e+001	6.500000e+000
2.505269e+001	7.093750e+000
2.494563e+001	7.687500e+000
2.483857e+001	8.218750e+000
2.473151e+001	8.656250e+000
2.462444e+001	9.031250e+000
2.451738e+001	9.375000e+000
2.441032e+001	9.687500e+000
2.430325e+001	9.937500e+000
2.419619e+001	1.012500e+001
2.408913e+001	1.028125e+001
2.398207e+001	1.040625e+001
2.387500e+001	1.046875e+001
2.376794e+001	1.053125e+001
2.366088e+001	1.059375e+001
2.355381e+001	1.065625e+001
2.344675e+001	1.071875e+001
2.333969e+001	1.075000e+001
2.323263e+001	1.078125e+001
2.312556e+001	1.075000e+001
2.301850e+001	1.071875e+001
2.291144e+001	1.065625e+001
2.280438e+001	1.059375e+001
2.269731e+001	1.053125e+001
2.259025e+001	1.053125e+001
2.248319e+001	1.050000e+001
2.237612e+001	1.046875e+001
2.226906e+001	1.046875e+001
2.216200e+001	1.046875e+001
2.205494e+001	1.050000e+001
2.194787e+001	1.050000e+001
2.184081e+001	1.050000e+001
2.173375e+001	1.050000e+001
2.162668e+001	1.050000e+001
2.151962e+001	1.050000e+001
2.141256e+001	1.050000e+001
2.130550e+001	1.046875e+001
2.119843e+001	1.050000e+001
2.109137e+001	1.050000e+001
2.098431e+001	1.046875e+001
2.087724e+001	1.043750e+001
2.077018e+001	1.037500e+001
2.066312e+001	1.031250e+001
2.055606e+001	1.028125e+001
2.044899e+001	1.025000e+001
2.034193e+001	1.028125e+001
2.023487e+001	1.031250e+001
2.012781e+001	1.034375e+001
2.002074e+001	1.034375e+001
1.991368e+001	1.034375e+001
1.980662e+001	1.031250e+001
1.969955e+001	1.028125e+001
1.959249e+001	1.025000e+001
1.948543e+001	1.021875e+001
1.937837e+001	1.018750e+001
1.927130e+001	1.018750e+001
1.916424e+001	1.015625e+001
1.905718e+001	1.012500e+001
1.895011e+001	1.009375e+001
1.884305e+001	1.009375e+001
1.873599e+001	1.012500e+001
1.862893e+001	1.009375e+001
1.852186e+001	1.006250e+001
1.841480e+001	1.000000e+001
1.830774e+001	9.937501e+000
1.820067e+001	9.937501e+000
1.809361e+001	9.937501e+000
1.798655e+001	9.906250e+000
1.787949e+001	9.937501e+000
1.777242e+001	9.937501e+000
1.766536e+001	9.937501e+000
1.755830e+001	9.875000e+000
1.745124e+001	9.812500e+000
1.734417e+001	9.781250e+000
1.723711e+001	9.812500e+000
1.713005e+001	9.875000e+000
1.702298e+001	9.937501e+000
1.691592e+001	1.000000e+001
1.680886e+001	1.006250e+001
1.670180e+001	1.012500e+001
1.659473e+001	1.018750e+001
1.648767e+001	1.025000e+001
1.638061e+001	1.028125e+001
1.627354e+001	1.031250e+001
1.616648e+001	1.034375e+001
1.605942e+001	1.037500e+001
1.595236e+001	1.040625e+001
1.584529e+001	1.046875e+001
1.573823e+001	1.050000e+001
1.563117e+001	1.050000e+001
1.552410e+001	1.053125e+001
1.541704e+001	1.053125e+001
1.530998e+001	1.050000e+001
1.520292e+001	1.046875e+001
1.509585e+001	1.043750e+001
1.498879e+001	1.043750e+001
1.488173e+001	1.043750e+001
1.477467e+001	1.043750e+001
1.466760e+001	1.043750e+001
1.456054e+001	1.043750e+001
1.445348e+001	1.046875e+001
1.434641e+001	1.046875e+001
1.423935e+001	1.040625e+001
1.413229e+001	1.037500e+001
1.402523e+001	1.031250e+001
1.391816e+001	1.028125e+001
1.381110e+001	1.031250e+001
1.370404e+001	1.034375e+001
1.359697e+001	1.037500e+001
1.348991e+001	1.040625e+001
1.338285e+001	1.040625e+001
1.327579e+001	1.040625e+001
1.316872e+001	1.040625e+001
1.306166e+001	1.040625e+001
1.295460e+001	1.046875e+001
1.284753e+001	1.050000e+001
1.274047e+001	1.059375e+001
1.263341e+001	1.065625e+001
1.252635e+001	1.065625e+001
1.241928e+001	1.065625e+001
1.231222e+001	1.068750e+001
1.220516e+001	1.071875e+001
1.209809e+001	1.071875e+001
1.199103e+001	1.068750e+001
1.188397e+001	1.062500e+001
1.177691e+001	1.059375e+001
1.166984e+001	1.056250e+001
1.156278e+001	1.056250e+001
1.145572e+001	1.053125e+001
1.134866e+001	1.050000e+001
1.124159e+001	1.053125e+001
1.113453e+001	1.056250e+001
1.102747e+001	1.056250e+001
1.092040e+001	1.062500e+001
1.081334e+001	1.075000e+001
1.070628e+001	1.087500e+001
1.059922e+001	1.096875e+001
1.049215e+001	1.109375e+001
1.038509e+001	1.118750e+001
1.027803e+001	1.131250e+001
1.017096e+001	1.143750e+001
1.006390e+001	1.156250e+001
9.956839e+000	1.168750e+001
9.849776e+000	1.178125e+001
9.742713e+000	1.184375e+001
9.635650e+000	1.184375e+001
9.528588e+000	1.178125e+001
9.421525e+000	1.171875e+001
9.314462e+000	1.175000e+001
9.207399e+000	1.171875e+001
9.100336e+000	1.171875e+001
8.993274e+000	1.171875e+001
8.886211e+000	1.171875e+001
8.779148e+000	1.168750e+001
8.672085e+000	1.165625e+001
8.565022e+000	1.162500e+001
8.457960e+000	1.162500e+001
8.350897e+000	1.162500e+001
8.243834e+000	1.165625e+001
8.136771e+000	1.168750e+001
8.029708e+000	1.171875e+001
7.922646e+000	1.178125e+001
7.815583e+000	1.184375e+001
7.708520e+000	1.187500e+001
7.601457e+000	1.187500e+001
7.494394e+000	1.190625e+001
7.387332e+000	1.190625e+001
7.280269e+000	1.196875e+001
7.173206e+000	1.203125e+001
