Amplitude Error Setpoint: 0.25(V)
Drive Frequency(kHz), Amplitude Error(V), Phase(º)
303.13 -0.087524 72.499
303.14 -0.086243 72.142
303.14 -0.084503 72.186
303.15 -0.083374 71.675
303.16 -0.080627 72.328
303.16 -0.078583 71.873
303.17 -0.076202 72.12
303.17 -0.073486 71.884
303.18 -0.070953 71.428
303.18 -0.069397 71.862
303.19 -0.065979 71.4
303.2 -0.063843 71.592
303.2 -0.060364 71.927
303.21 -0.05722 71.307
303.21 -0.055084 70.812
303.22 -0.050995 71.235
303.23 -0.048157 70.862
303.23 -0.045502 70.812
303.24 -0.041229 70.219
303.24 -0.035614 70.005
303.25 -0.033936 69.873
303.26 -0.029144 69.505
303.26 -0.024719 69.109
303.27 -0.020966 69.038
303.27 -0.016541 68.428
303.28 -0.01236 67.714
303.29 -0.0053101 67.352
303.29 -0.0021973 67.05
303.3 0.0030518 66.434
303.3 0.0075378 66.127
303.31 0.014191 65.347
303.32 0.018646 64.77
303.32 0.025696 63.995
303.33 0.031311 63.325
303.33 0.037872 62.595
303.34 0.044617 61.957
303.34 0.050262 61.04
303.35 0.057617 59.914
303.36 0.064301 59.178
303.36 0.071411 58.085
303.37 0.07782 57.178
303.37 0.084808 56.168
303.38 0.093658 55.283
303.39 0.099396 53.866
303.39 0.10797 52.822
303.4 0.11517 51.702
303.4 0.12335 50.18
303.41 0.1315 49.092
303.42 0.13852 47.714
303.42 0.14658 46.258
303.43 0.15472 44.934
303.43 0.16327 43.27
303.44 0.17023 41.852
303.45 0.17926 40.254
303.45 0.18619 38.551
303.46 0.1944 36.892
303.46 0.20261 35.123
303.47 0.21057 33.459
303.48 0.21622 31.597
303.48 0.22415 29.756
303.49 0.22949 27.653
303.49 0.23764 25.697
303.5 0.24319 23.818
303.51 0.24866 21.89
303.51 0.25436 19.847
303.52 0.25858 17.721
303.52 0.263 15.705
303.53 0.26767 13.574
303.53 0.27036 11.475
303.54 0.27289 9.5361
303.55 0.27512 7.229
303.55 0.27563 4.8889
303.56 0.27747 2.8784
303.56 0.2774 0.75806
303.57 0.27802 -1.5216
303.58 0.2778 -3.4882
303.58 0.27475 -5.4877
303.59 0.27469 -7.619
303.59 0.27173 -9.6185
303.6 0.26755 -11.651
303.61 0.26514 -13.865
303.61 0.26096 -15.721
303.62 0.25696 -17.65
303.62 0.25391 -19.688
303.63 0.24823 -21.72
303.64 0.24246 -23.483
303.64 0.23883 -25.23
303.65 0.23331 -27.076
303.65 0.22714 -28.916
303.66 0.21997 -30.707
303.67 0.21555 -32.388
303.67 0.20874 -33.893
303.68 0.20297 -35.524
303.68 0.19614 -37.018
303.69 0.19171 -38.672
303.69 0.18481 -40.331
303.7 0.17776 -41.83
303.71 0.17212 -43.165
303.71 0.16614 -44.742
303.72 0.15817 -45.967
303.72 0.15198 -47.329
303.73 0.14551 -48.636
303.74 0.1405 -49.966
303.74 0.13416 -51.312
303.75 0.12833 -52.438
303.75 0.12338 -53.866
303.76 0.11588 -54.981
303.77 0.11163 -56.107
